competitor_product_id,product_name
40531,Stock Pink and White Antique
24996,Statice Purple Tissue Queens
26814,Artemisia Dusty Miller Large Leaf
26967,Artemisia Dusty Miller Lacey
17732,Statice lush Tissue
40531,Stock Pink and White Antique
26719,Astilbe Pink Europa
26131,Rose Orange Free Spirit
62094,Rose Orange Free Spirit
49842,Rose Orange Free Spirit
51272,Rose Orange Free Spirit
24348,Rose Orange Free Spirit
52871,Rose Orange Free Spirit
51090,Rose Orange Free Spirit
30985,Rose Orange Free Spirit
10754,Astilbe Pink Erica
63370,Rose Yellow Momentum
47260,Rose Yellow Momentum
52079,Stock Assorted lora
45094,Stock White Spray
25240,Amaranthus Green Hanging
39710,Stock Assorted Spray
40736,Rose Pink Opala
41301,Campanula Purple
41303,Campanula Pink
41302,Campanula White
21547,Craspedia Yellow
75125,Stock Light Pink
31690,Dianthus Amazon Cherry
31947,Dianthus Amazon Purple
75125,Stock Pink Light
40358,Rose Red Explorer
52827,Rose Red Explorer
31486,Dianthus Amazon Assorted
38093,Dianthus Amazon Red Scarlet
47596,Anemone White
18013,Anemone White Panda
68448,Artemisia Dusty Miller
74486,Mum Disbud White Zembla
40531,Stock Pink and White Antique
31690,Dianthus Amazonherry
38004,Dianthus Amazonurgundy
40536,Fever Few Double White Tetram
27585,Feverfew Daisyalifornia
74478,Mum Disbud Yellow Astroid
68177,Mum Super Yellow Asteroid
32722,Freesia Assorted
30532,Rose White Polo
24836,Rose White Polo
42666,Grass Oats
27799,Grass Wheat
40519,Stock Mauve Antique
39709,Stock Mauve Antique
75084,Kale Purple and Green
32275,Mum Disbud Green Fuzzball
28596,Rice Flower White
27972,Lavender English
17993,Lepidium
58866,Lepidium Green Dragon
31862,Sunflower Yellow Vincent Choice
31868,Sunflower Yellow Vincent Choice
31865,Sunflower Yellow Vincent Choice
31863,Sunflower Yellow Vincent Choice Fresh
31869,Sunflower Yellow Vincent Choice Fresh
31866,Sunflower Yellow Vincent Choice Fresh
39054,Scabiosa Burgundy Blackberry Scoop
31133,Scabiosa Burgundy Annual
39056,Scabiosa Red Raspberry Scoop
32865,Sunflower Yellow Sunbright
32548,Sunflower Yellow Sunbright
36402,Scabiosa Red Raspberry Scoop
39056,Scabiosa Red Raspberry Scoop
36402,Scabiosa Red Raspberry Scoop
39071,Scabiosa Red Velvet Scoop
24355,Rose Cream Candlelight
24421,Rose Cream Candlelight
39516,Sunflower Yellow Vincent Choice
39515,Sunflower Yellow Vincent Choice
39098,Sunflower Yellow Vincent Choice
36576,Sunflower Yellow Vincent Choice
36737,Sunflower Yellow Vincent Choice
36598,Sunflower Yellow Vincent Choice
32876,Sunflower Yellow Vincent Choice
52076,Sunflower Yellow Vincent Choice
38277,Sunflower Yellow Vincent Choice
42891,Tulip Double Pink Flash Point
40272,Tulip Double Columbus
38979,Tulip White
21797,Yarrow Cottage White
46099,Thistle Blue Bell
17276,Thistle Blue Lagoon
68742,Rose Pink Candy Expression
68743,Rose Pink Candy Expression
30381,Rose Hot Pink Topaz
30718,Rose Hot Pink Topaz
38978,Tulip Red
38560,Tulip Assorted
38980,Tulip Yellow
35213,Tulip Pink Llight
35180,Tulip Pink
38977,Tulip Purple
38975,Tulip Orange
12294,Peony White Mother's Choice
35213,Tulip Pink Light
32068,Peony Coral Charm
12653,Peony Coral Charm
30381,Rose Hot Pink Topaz
30718,Rose Hot Pink Topaz
39044,Yarrow Yellow
36757,Yarrow Yellow
31479,Yarrow Yellow
46895,Rose Pink Nena
52909,Rose Pink Nena
46896,Rose Pink Nena
17845,Peony Pink Light Rene Hortens
17845,Peony Pink Light Rene Hortens
38196,Waxflower Yellow Tint Select
26847,Waxflower Orange Tint Select
33025,Waxflower Purple
17836,Peony Whiteridal Shower
65734,Rose Pink Sweet Eskimo
53753,Rose Pink Sweet Eskimo
57052,Rose Pink Sweet Eskimo
23058,Peony White Duchesse
31914,Peony White Duchesse
56071,Rose Hot Pink Gotcha
56071,Rose Hot Pink Gotcha
45961,Peony Pink Hot Cytherea
12458,Peony White Bowl Of Cream
45961,Peony Pink Hot Cytherea
36007,Peony Coral Sunset
54433,Rose Pink Christa
49840,Rose Pink Christa
49839,Rose Pink Christa
10996,Peony Pink Light Pecher
47099,Rose Lavender Blueberry
10996,Peony Pink Light Pecher
36029,Peony Red Sara
10697,Peony Pink Light Angelheeks
33768,Peony Pink Sara
10697,Peony Pink Light Angelheeks
69112,Rose Sal Dragonfly
69113,Rose Sal Dragonfly
69114,Rose Sal Dragonfly
67448,Rose Var Kahala
67449,Rose Var Kahala
23113,Peony Pink Hot Jules Elie
23029,Peony Pink Hot Jules Elie
23113,Peony Pink Hot Jules Elie
23029,Peony Pink Hot Jules Elie
10473,Peony Blush Gardenia
10473,Peony Blush Gardenia
28863,Rose Red Freedom
49910,Rose Red Freedom
43820,Rose Red Freedom
28517,Rose Red Freedom
25612,Rose Red Freedom
31006,Rose Red Freedom
26220,Rose Red Freedom
32196,Rose Red Freedom
31523,Rose Red Freedom
34890,Rose Red Freedom
37620,Rose Red Freedom
25705,Rose Red Freedom
26187,Rose Red Freedom
29868,Rose Red Freedom
49911,Rose Red Freedom
53806,Rose Red Freedom
51166,Rose Red Freedom
28859,Rose Red Freedom
66748,Rose Red Freedom
33649,Rose Red Freedom
24342,Rose Red Freedom
23204,Pom Pon Yellow Viking
58012,Pom Pon Yellow Viking
45759,Rose Lavender Andrea
58014,Pom Pon Green Athos
34986,Pom Pon Green Athos
31603,Pom Pon Green Athos
62883,Pom Pon Green Athos
57581,Rose Pink Mother of Pearl
54033,Rose Pink Mother of Pearl
45792,Rose Pink Mother of Pearl
54034,Rose Pink Mother of Pearl
43936,Rose Pink Mother of Pearl
52444,Rose White Dove
68375,Pom Pon Lavender Roselle
59171,Pom Pon Blue Ocean Jade
59171,Pom Pon Blue Ocean Jade
20246,Rose White Mondial
26229,Rose White Mondial
49103,Rose White Mondial
51314,Rose White Mondial
51231,Rose White Mondial
20247,Rose White Mondial
24833,Rose White Mondial
24567,Rose White Mondial
27250,Rose White Mondial
49104,Rose White Mondial
51232,Rose White Mondial
47085,Rose White Mondial
51261,Rose White Mondial
49902,Rose Varluez
59054,Pom Pon Peach Button Hippie
53738,Rose Pink Mondial
57050,Rose Pink Mondial
53739,Rose Pink Mondial
47705,Rose Pink Mondial
57049,Rose Pink Mondial
53740,Rose Pink Mondial
49217,Pom Pon Assorted
60958,Pom Pon Assorted
65544,Pom Pon Assorted
23286,Pom Pon Assorted
60658,Pom Pon Assorted
50000,Pom Pon Assorted
62864,Pom Pon Assorted
54826,Pom Pon Assorted
54753,Pom Pon Purple Button
61282,Pom Pon Purple Button
50958,Pom Pon Pink Daisy Alma
23187,Pom Pon Yellowutton
23245,Pom Pon Yellow Button
62879,Pom Pon Yellow Button
27070,Rose Pch Shine On
50976,Pom Pon Lavender Dotty Cherry
50978,Pom Pon Green Button
50675,Pom Pon Green Butt Whats App
67139,Pom Pon Green Butt Whats App
18292,Pom Pon Micro White Candy Crush
23182,Pom Pon White Button
23344,Pom Pon White Button
23131,Pom Pon White Button
62878,Pom Pon White Button
52162,Pom Pon White Micro Why Not
46850,Rose Yellow Stardust
46851,Rose Yellow Stardust
30698,Rose Pink Rosita Vendela
23210,Pom Pon Assorted
62884,Pom Pon Novelty Ying Yang
47798,Rose Sal Amsterdam
54364,Rose Sal Amsterdam
40732,Rose White Moonstone
40733,Rose White Moonstone
59173,Pom Pon Blue Ocean Sapphire
28793,Rose Yellow Gelosia
59170,Pom Pon Blue Ocean Coral
59170,Pom Pon Blue Ocean Coral
59170,Pom Pon Blue Ocean Coral
67616,Pom Pon Santini White Katty
59671,Pom Pon Santini Assorted
23324,Pom Pon Santini Pink Frenzy
58685,Pom Pon Santini Yellow OkiDoki
23324,Pom Pon Santini Pink Frenzy
54573,Pom Poni Color Daisy Starfire
59111,Pom Pon Salmon Daisy
59337,Pom Pon Peach Daisy Tequila Sunrise
54702,Pom Pon Peach Daisy
24086,Rose White Playa Blanca
29963,Rose White Playa Blanca
57044,Rose White Playa Blanca
67352,Rose White Playa Blanca
53704,Rose White Playa Blanca
67353,Rose White Playa Blanca
57045,Rose White Playa Blanca
67354,Rose White Playa Blanca
46897,Rose Pink Hermosa
46898,Rose Pink Hermosa
24053,Rose Pink Hermosa
23266,Pom Pon Purple Daisy
21569,Pom Pon Purple Daisy
62875,Pom Pon Lav. Daisy Atlantis
42353,Pom Pon Orange Reagan Daisy
50977,Pom Pon Pink Daisy Alma
54744,Pom Pon Pink Daisy Atlantis
54786,Pom Pon Yellow Daisy
60674,Pom Pon Yellow Daisy
58683,Pom Pon Yellow Daisy Yellowstone
40002,Rose Dyed Blue
23268,Pom Pon Lavender Daisy Reagan
23354,Pom Pon Yellow Daisy Reagan
23200,Pom Pon White Daisy Alma
50751,Pom Pon White Daisy Alma
54593,Pom Pon White Daisy Alma
54736,Pom Pon White Daisy Alma
62814,Pom Pon White Daisy Alma
23347,Pom Pon White Daisy Reagan
52166,Pom Pon White Top Dollar
23174,Pom Pon Assorted Daisy
48286,Pom Pon Assorted Daisy
60659,Pom Pon Assorted Daisy
62052,Pom Pon Assorted Daisy
54113,Pom Pon Assorted Daisy
23264,Pom Pon Assorted Daisy
50001,Pom Pon Assorted Daisy Atlantis lora
23262,Pom Pon Assorted Daisy Reagan
51023,Rose Var Sweetberry
50938,Florinca White
59109,Pom Pon Pink-Light Daisy Coconut
57981,Alstroemeria Green Shakira
20080,Alstroemeria Red
20085,Alstroemeria Burgundy Velvet Queen
37806,Pom Pon Green Button Country
29697,Aster Matsumoto White
54883,Alstroemeria Prpote D'Azur Prem
59585,Alstroemeria Prp Maracana Prem
50858,Alstroemeria Purple
58006,Alstroemeria Purple Napoli
49684,Alstroemeria Purple Xanadu
29694,Aster Matsumoto Purple
50855,Alstroemeria Orange
51850,Alstroemeria Orange Queen Select
68196,Alstroemeria Orange Queen
66058,Alstroemeria Pink Marian Premium
50857,Alstroemeria Hot Pink
66056,Alstroemeria Pink-Hot Rome
40019,Alstroemeria Pink-Hot Rosita
29692,Aster Matsumoto Pink Hot
52666,Rose Peach Alejandra
65200,Alstroemeria Assorted White Premium
25756,Alstroemeria Assorted White Select
59657,Alstroemeria White
60115,Alstroemeria White Aspen Premium
65753,Alstroemeria White Aspen Select
67747,Alstroemeria White Bianca
59575,Alstroemeria White Bianca
50785,Alstroemeria White Perfection
60923,Alstroemeria White Virginia Prem
