competitor_product_id,product_name
2160538,Achillea
2160540,Alstroemeria Assorted
2160542,Alstroemeria Hot Pink
2160544,Alstroemeria Lavender
2160546,Alstroemeria Orange Queen
2160548,Alstroemeria Prima Donna
2160550,Alstroemeria Purple
2160552,Alstroemeria Red
2160554,Alstroemeria White
2160556,Alstroemeria Yellow
2160558,Amaranthus Hanging Assorted
2160560,Amaranthus Hanging Green
2160562,Amaranthus Hanging Red
2160564,Anemone Assorted
2160566,Anemone Blush
2236674,Anemone Burgundy
2160568,Anemone Hot Pink
2236623,Anemone Levante Blue
2236627,Anemone Levante Hot Pink
2236625,Anemone Levante Pink
2236626,Anemone Levante Red
2236624,Anemone Levante White
2160570,Anemone Marianne Panda
2160572,Anemone Novelty Purple
2160574,Anemone Red
2160576,Anemone Wine Red
2162219,Aralia Ex
2162220,Aralia I
2162221,Aralia Ii
2162222,Aralia Iii
2162223,Aralia Iv
2162218,Aralia Super
2177154,Aranthera Anne Black
2177155,Aranthera Azimah
2177156,Aranthera Jame Red
2177157,Aranthera Magie Oie
2162224,Aspidistria
2162230,Aspidistria
2162229,Aspidistria
2162228,Aspidistria
2162227,Aspidistria
2162226,Aspidistria
2162225,Aspidistria
2160614,Aster Matsumoto Hot Pink
2160616,Aster Matsumoto Pink
2160618,Aster Pink
2160620,Aster Purple
2160622,Aster Solidago
2160624,Aster White
2261200,Bird Of Paradise
2163740,Bouquet Medium Confeti
2163742,Bouquet Medium Lua Pink
2163744,Bouquet Medium Maui
2163746,Bouquet Medium Parrot
2163748,Bouquet Medium Rainbow
2160626,Brassica Assorted
2160628,Brassica Lavender Crane
2160630,Brassica Red Crane
2160632,Brassica White Crane
2160634,Callas Alegria
2160636,Callas Aspen
2160638,Callas Aspen Blush
2160640,Callas Assorted
2161245,Callas Assorted
2160642,Callas Black Forest
2160644,Callas Boutonniere
2160646,Callas Bridesmaid Bouquets
2160648,Callas Calla Leaves
2160650,Callas Cascade Bouquet Open Cut
2160652,Callas Cranberry
2160654,Callas Crystal Blush
2160656,Callas Crystal Pink
2160658,Callas Crystal White
2160660,Callas Dark Captain Romance
2160662,Callas Dark Schwarzwalder
2160664,Callas Denver
2160666,Callas Fantasia
2160668,Callas Flame
2160670,Callas Florex Gold
2160672,Callas Gran Paradiso
2160674,Callas Hawaiian Papaya
2160676,Callas Open Ccut
2160678,Callas Paco
2160680,Callas Perle Rose
2160682,Callas Picasso
2160684,Callas Pink Panther
2160686,Callas Purple Star
2160688,Callas Raspberry
2160690,Callas Red Aranal
2160692,Callas Rubylite Rose
2160694,Callas Schwarzwalder
2160696,Callas Siamese Calla
2160698,Callas Strauss
2160700,Callas Tequila Sunrise
2160702,Carnation Antigua Fancy
2192246,Carnation Apple Tea
2160704,Carnation Assorted Fancy
2192254,Carnation Ayame
2160706,Carnation Burgundy Fancy
2192251,Carnation Cheerio
2160708,Carnation Cream Fancy
2160710,Carnation Dark Pink Fancy
2192237,Carnation Fabulous
2192249,Carnation Farida
2192253,Carnation Fiesta Komachi
2220930,Carnation Fiesta Komachi
2160712,Carnation Green Fancy
2160714,Carnation Hot Pink Fancy
2192247,Carnation Illusion
2192239,Carnation Lege Marrone
2192244,Carnation Megan
2192250,Carnation Minerva
2160716,Carnation Mini Assorted
2160718,Carnation Mini Cream
2160720,Carnation Mini Green
2160722,Carnation Mini Hot Pink
2160724,Carnation Mini Lavender
2160726,Carnation Mini Light Pink
2160728,Carnation Mini Lilac
2160730,Carnation Mini Moon Series
2160732,Carnation Mini Novelty
2160734,Carnation Mini Orange
2160736,Carnation Mini Peach
2160738,Carnation Mini Pink
2160740,Carnation Mini Purple
2160742,Carnation Mini Red
2160744,Carnation Mini White
2160746,Carnation Mini Yellow
2161251,Carnation Moon Series Assorted
2160748,Carnation Moonaqua
2160750,Carnation Moonshade
2192241,Carnation Moonshade
2192243,Carnation Nobbio
2160752,Carnation Novelty Fancy
2160754,Carnation Orange Fancy
2160756,Carnation Peach Fancy
2192242,Carnation Peppermint
2160758,Carnation Pink Fancy
2192248,Carnation Prado
2160760,Carnation Purple Fancy
2160762,Carnation Red Fancy
2192245,Carnation Rodas
2192252,Carnation Viana
2192238,Carnation Vintage Copper
2160764,Carnation Vintage Mix Fancy
2160766,Carnation White Fancy
2160768,Carnation Yellow Fancy
2162243,Cinerea Metal Copper 150 Green
2162241,Cinerea Metal Gold 150 Green
2162244,Cinerea Metal Red 150 Green
2162242,Cinerea Metal Silver 150 Green
2162245,Cinerea Silver 150 Green
2227852,Cremon Peach
2161273,Curly Willow Tips
2163478,Dahlia Amora
2163504,Dahlia Assorted
2163480,Dahlia Café Aulait
2163482,Dahlia Fox Maroon
2163484,Dahlia Fox Orange
2163486,Dahlia Garnet
2163488,Dahlia Karma Chocolate
2163492,Dahlia Karma Corona
2163490,Dahlia Karma Corona Pink
2163494,Dahlia Moon Stone
2163496,Dahlia Moonlady
2163498,Dahlia Orange Quartz
2163500,Dahlia Pink Quartz
2163502,Dahlia Prospero
2161195,Delphinium Assorted
2161197,Delphinium Dark Blue
2161464,Delphinium Elatum Manuela
2148562,Delphinium Sea Waltz Dark Blue
2148563,Delphinium Sea Waltz Light Blue
2271877,Delphinium Sea Waltz White
2161199,Delphinium White
2177158,Dendrobium 5N
2177159,Dendrobium Anna
2177160,Dendrobium Apple Green
2177161,Dendrobium Arika
2177164,Dendrobium Beauty Pink
2177162,Dendrobium Bella Purple
2177163,Dendrobium Big Pink
2177165,Dendrobium Big White Jumbo Blue
2177166,Dendrobium Big White Jumbo Green
2177167,Dendrobium Big White Jumbo Red
2177168,Dendrobium Big White Jumbo Yellow
2177169,Dendrobium Burana Jade
2177170,Dendrobium Butterfly
2177171,Dendrobium Chalerm Porn
2177172,Dendrobium Charak Red
2177173,Dendrobium Chid Chom
2177175,Dendrobium Dahila Pink
2177174,Dendrobium Diana Green
2177176,Dendrobium Jinda Sweet
2177177,Dendrobium Juree Red
2177178,Dendrobium Kamila
2177180,Dendrobium Kathy Pink
2177179,Dendrobium King Dragon
2177181,Dendrobium Lervia
2177183,Dendrobium Lovely Pink
2177184,Dendrobium Lucy Pink
2177185,Dendrobium Madam
2177187,Dendrobium Mali White
2177188,Dendrobium Mary Red
2177197,Dendrobium Metas Red
2177186,Dendrobium Micky Pink
2177189,Dendrobium Miss Pink
2177190,Dendrobium Miss Teen
2177191,Dendrobium Miss Teen Blue
2177192,Dendrobium Miss Teen Green
2177193,Dendrobium Miss Teen Red
2177194,Dendrobium Miss Teen Yellow
2177195,Dendrobium Miss World
2177196,Dendrobium Morning Pink
2177199,Dendrobium Nature White
2177200,Dendrobium New Wasana
2177198,Dendrobium Nopporn Pink
2177201,Dendrobium Pennapha
2177202,Dendrobium Pramote
2177203,Dendrobium Purple Joe
2177204,Dendrobium Queen Pink
2177205,Dendrobium Rainy Pink
2177206,Dendrobium Red Bull
2177207,Dendrobium Red Sonia
2177208,Dendrobium Red Sonia Blue
2177209,Dendrobium Red Sonia Green
2177210,Dendrobium Red Sonia Red
2177211,Dendrobium Red Sonia Yellow
2177212,Dendrobium Rosy Red
2177213,Dendrobium Sakura
2177214,Dendrobium Sanan
2177216,Dendrobium Starlight
2177215,Dendrobium Sugar Pink
2177217,Dendrobium Supinya
2177218,Dendrobium Suree Peach
2177220,Dendrobium Tawan Pink
2177221,Dendrobium Twotone
2177222,Dendrobium Vailai
2177219,Dendrobium Vailai Jinda
2177223,Dendrobium Ying Pink
2161201,Dianthus Green Wicky
2160770,Disbuds Cremon Assorted
2160772,Disbuds Cremon Bronze
2160774,Disbuds Cremon Green
2160776,Disbuds Cremon Pink
2160778,Disbuds Cremon Purple
2160780,Disbuds Cremon Red
2160782,Disbuds Cremon Red Morgan
2160784,Disbuds Cremon Virginia
2160786,Disbuds Cremon White
2160788,Disbuds Cremon Yellow
2161077,Disbuds Spider Anastasia Green
2161079,Disbuds Spider Assorted
2161081,Disbuds Spider Dark Green
2161083,Disbuds Spider Lavender
2161085,Disbuds Spider Orange
2161087,Disbuds Spider Pink
2161089,Disbuds Spider Purple
2161091,Disbuds Spider White
2161093,Disbuds Spider Yellow
2163706,Dried Andean Aster Bleach
2161203,Dried Bismark Palm Round
2163736,Dried Bouquet Eternal Large
2161205,Dried Bouquet Magical Assorted
2163738,Dried Bouquet Mariel
2161207,Dried Eryngium Bleached
2163712,Dried Eucalyptus Leaves Red
2161209,Dried Fantasy Assorted Bouquet
2161211,Dried Foxtail Grass 150Gram
2161213,Dried Ginger
2163734,Dried Ginger Dry Natural
2163702,Dried Gypso Bleach
2163716,Dried Heliconia Carioca Bleached
2161215,Dried Heliconia Carioca Hanging
2163722,Dried Heliconia She Kong L
2163718,Dried Heliconia She Kong Xl
2163720,Dried Heliconia She Kong Xl
2161217,Dried Heliconia Upright
2161219,Dried Ixodia
2161221,Dried Jungle Apple Bleached
2161223,Dried Lagurus Bleached
2163704,Dried Linum Bleach
2161225,Dried Loafa Sponge Assorted
2161227,Dried Loafa Sponge Bleached
2161229,Dried Nigella Orientalis Bleached
2163714,Dried Oats Bleach
2163708,Dried Orchard Grass Bleach
2163710,Dried Orchard Grass Tinted
2163726,Dried Pampas Fat Natural
2163728,Dried Pampas Fat Pink
2163730,Dried Pampas Slim Natural
2163732,Dried Pampas Slim Pink
2161231,Dried Phalaris Bleached
2161381,Dried Ruscus Italy Bleached
2161383,Dried Ruscus Italy Bleached Assorted
2163724,Dried Sorghum Bleached
2161233,Dried Stopa
2161235,Dried Straw Palm Bleached
2161239,Dried Vines Inga Bleached
2161241,Dried Washintonian Palm Round
2160790,Dusty Miller
2161243,Eryngium Blue Lagoon
2162200,Eucalyptus Baby Blue 200 Green
2162201,Eucalyptus Baby Blue 300Gr
2162202,Eucalyptus Cinerea 200 Green
2162203,Eucalyptus Cinerea 300Gr
2162204,Eucalyptus Parvifolia 200 Green
2162205,Eucalyptus Parvifolia 300Gr
2162206,Eucalyptus Populus 200 Green
2162207,Eucalyptus Populus 300Gr
2162208,Eucalyptus Stuartiana 200 Green
2162209,Eucalyptus Stuartiana 300Gr
2162210,Eucalyptus Stuartiana Fall 200 Green
2162211,Eucalyptus Stuartiana Fall 300Gr
2193417,Flower Assorted
2170949,Flower Bqt
2170950,Flower Bqt
2170951,Flower Bqt
2271452,Flower Bqt
2271453,Flower Bqt
2161257,Football Assorted
2161259,Football Lavender
2161261,Football Pink
2161263,Football White
2161265,Football Yellow
2157720,Garden Rose Coqueta
2158448,Garden Rose Mayra Bridal Pink
2219838,Garden Rose Mayra Hot Pink Garden Roses
2219808,Garden Rose Mayra Peach
2219810,Garden Rose Mayra Red
2158450,Garden Rose Mayra Rose
2219806,Garden Rose Mayra White
2158456,Garden Rose Piano
2158460,Garden Rose Pink Piano
2158464,Garden Rose Quicksand
2210614,Garden Rose Vday Assorted
2216107,Garden Rose Westminster Abbey
2158502,Garden Rose White Ohara
2158534,Garden Roses White Ohara
2163698,Garden Roses Yves Piaget
2158518,Garden Spray Lea Romantica
2200508,Garland Gyp Blue 5Ft
2200506,Garland Gyp Brown 5Ft
2200515,Garland Gyp Coral 5Ft
2200510,Garland Gyp Green 5Ft
2200503,Garland Gyp Hot Pink 5Ft
2200500,Garland Gyp Indian Summer 5Ft
2200502,Garland Gyp Lavender 5Ft
2200512,Garland Gyp Light Blue 5Ft
2200511,Garland Gyp Light Green 5Ft
2200498,Garland Gyp Natural 5Ft
2200514,Garland Gyp Orange 5Ft
2200504,Garland Gyp Pink 5Ft
2200509,Garland Gyp Purple 5Ft
2200499,Garland Gyp Rainbow 5Ft
2200505,Garland Gyp Red 5Ft
2200501,Garland Gyp Sweet Candy 5Ft
2200507,Garland Gyp Yellow 5Ft
2160792,Gerbera Assorted
2160794,Gerbera Hot Pink
2160796,Gerbera Orange
2160798,Gerbera Pink
2160800,Gerbera Red
2160802,Gerbera White
2160804,Gerbera Yellow
2163754,Ginger Red Medium
2161267,Gladiolus Assorted
2148557,Green Dianthus
2190656,Green Smilax 10 Pounds
2161269,Greens Aspidistra
2161271,Greens Aspidistra Variegated
2163750,Greens Bouquet Amazonas Farm Choice Mix
2161275,Greens Emerald Medium
2161277,Greens Eucalyptus Baby Blue
2161279,Greens Eucalyptus Seeded
2161249,Greens Eucalyptus Silver Dollar
2161281,Greens Galax Leaves
2161283,Greens Israeli Ruscus
2161285,Greens Italian Ruscus
2161287,Greens Italian Variegated Pittosporum
2161289,Greens Ivy Green Premium
2161291,Greens Jade Regular
2161293,Greens Leather Leaf German
2161295,Greens Leather Leaf Premium
2163700,Greens Magnolia
