product_name,competitor_product_group_name,competitor_product_id
Achillea Ptarmica Pearl White,Achillea Ptarmica,8448957
Agapanthus Blue,Agapanthus,490587
Alstroemeria Assorted Select,Alstroemeria,483748
Alstroemeria Assorted Super Select,Alstroemeria,490071
Alstroemeria Dirty Dancing Cream Select,Alstroemeria,941010
Alstroemeria Dirty Dancing Cream Super Select,Alstroemeria,941011
Alstroemeria Dubai Light Pink Select,Alstroemeria,1032021
Alstroemeria Fifi Light Pink Select,Alstroemeria,940750
Alstroemeria Fifi Light Pink Super Select,Alstroemeria,940751
Alstroemeria Galaxy Lavender Select,Alstroemeria,1050612
Alstroemeria Galaxy Lavender Super Select,Alstroemeria,1050613
Alstroemeria Green Planet Green Select,Alstroemeria,14631876
Alstroemeria Hot Pink Select,Alstroemeria,483772
Alstroemeria Hot Pink Super Select,Alstroemeria,483771
Alstroemeria Lavender Select,Alstroemeria,483776
Alstroemeria Lavender Super Select,Alstroemeria,483775
Alstroemeria Nadya Red Select,Alstroemeria,484034
Alstroemeria Nadya Red Super Select,Alstroemeria,484033
Alstroemeria Orange Queen Orange Select,Alstroemeria,484058
Alstroemeria Orange Queen Orange Super Select,Alstroemeria,484057
Alstroemeria Orange Select,Alstroemeria,483784
Alstroemeria Orange Super Select,Alstroemeria,483783
Alstroemeria Pink Select,Alstroemeria,483792
Alstroemeria Pink Super Select,Alstroemeria,483791
Alstroemeria Pink/White Select,Alstroemeria,1822883
Alstroemeria Pink/White Super Select,Alstroemeria,1822884
Alstroemeria Primadonna Pink Select,Alstroemeria,484070
Alstroemeria Primadonna Pink Super Select,Alstroemeria,484069
Alstroemeria Shakira Green Select,Alstroemeria,646524
Alstroemeria Tampa Orange Select,Alstroemeria,484110
Alstroemeria Voyager Yellow Select,Alstroemeria,645936
Alstroemeria Whistler White Select,Alstroemeria,1052765
Alstroemeria Whistler White Super Select,Alstroemeria,1052766
Alstroemeria White Select,Alstroemeria,483808
Alstroemeria White Super Select,Alstroemeria,483807
Amaranthus Hanging Green,Amaranthus,500277
Amaranthus Hanging Red,Amaranthus,513360
Amaranthus Upright Bronze,Amaranthus,1937431
Amaranthus Upright Red,Amaranthus,513364
Anemone Assorted,Anemone,513365
Anemone Black Center White,Anemone,513375
Anemone Blue,Anemone,513367
Anemone Blush,Anemone,513366
Anemone Levante Blue,Anemone,12983878
Anemone Levante Fuchsia,Anemone,12983873
Anemone Levante Pink,Anemone,12983877
Anemone Levante Red,Anemone,12983905
Anemone Levante White,Anemone,12983858
Anemone Mistral Bordeaux Burgundy,Anemone Mistral,3912336
Anemone Mistral Grape Purple,Anemone Mistral,3111261
Anemone Red,Anemone,513373
Aralia Leaves Green,Aralia,514524
Aspidistra Green,Aspidistra,514550
Aspidistra Green,Aspidistra,514550
Aspidistra Variegated,Aspidistra,514551
Aspidistra Variegated,Aspidistra,514551
Aster Carnival Pink,Aster,939558
Aster Carnival Purple,Aster,939556
Aster Carnival White,Aster,939557
Aster Matsumoto Assorted,Aster,484140
Aster Matsumoto Hot Pink,Aster,484141
Aster Matsumoto Hot Pink,Aster,484141
Aster Matsumoto Pink,Aster,484144
Aster Matsumoto Purple,Aster,484145
Aster Matsumoto Purple,Aster,484145
Aster Matsumoto Red,Aster,484146
Aster Matsumoto Red,Aster,484146
Aster Matsumoto White,Aster,484147
Aster Matsumoto White,Aster,484147
Aster Montecasino White,Aster,484153
Aster Sungal Purple,Aster,1540958
Aster Sungal Purple,Aster,1540958
Aster Sunrio White,Aster,1540957
Astrantia Burgundy,Astrantia,1051721
Astrantia Light Pink,Astrantia,514557
Astrantia Pink,Astrantia,1053054
Astrantia White,Astrantia,514560
Atriplex Green,Atriplex,514564
Bells of Ireland Green Long,Bells of Ireland,666513
Bells of Ireland Green Medium,Bells of Ireland,666512
Bells of Ireland Green Xlong,Bells of Ireland,1006583
Berzelia Baubles Green,Berzelia,514596
Berzelia Baubles Green,Berzelia,514596
Bird of Paradise Orange Select,Bird of Paradise,500207
Bromeliad Red,Bromeliad,484171
Brunia Albiflora Green,Brunia,513531
Brunia Albiflora Green,Brunia,513531
Brunia Spray Silver,Brunia,513533
Brunia Spray Silver,Brunia,513533
Bupleurum Green,Bupleurum,490599
Bupleurum Green,Bupleurum,490599
Calla Lily Mini Assorted,Calla Lily Mini,484178
Calla Lily Mini Assorted,Calla Lily Mini,484179
Calla Lily Mini Burgundy,Calla Lily Mini,484192
Calla Lily Mini Burgundy,Calla Lily Mini,484193
Calla Lily Mini Elegant Swan Blush/White,Calla Lily Mini,632859
Calla Lily Mini Garnet Glow Hot Pink,Calla Lily Mini,484419
Calla Lily Mini Hot Pink,Calla Lily Mini,484207
Calla Lily Mini Hot Pink,Calla Lily Mini,484208
Calla Lily Mini Morning Sun Orange,Calla Lily Mini,1092047
Calla Lily Mini Odessa Black,Calla Lily Mini,484520
Calla Lily Mini Orange,Calla Lily Mini,484228
Calla Lily Mini Orange,Calla Lily Mini,484229
Calla Lily Mini Paco Milka Lavender,Calla Lily Mini,1090142
Calla Lily Mini Picasso Purple/White,Calla Lily Mini,484557
Calla Lily Mini Picasso Purple/White,Calla Lily Mini,484558
Calla Lily Mini Pink,Calla Lily Mini,484241
Calla Lily Mini Pink Jewel Dark Pink,Calla Lily Mini,1054883
Calla Lily Mini Schwarzwalder Black,Calla Lily Mini,484653
Calla Lily Mini Sumatra Hot Pink,Calla Lily Mini,484671
Calla Lily Mini White,Calla Lily Mini,484255
Calla Lily Mini White,Calla Lily Mini,484256
Calla Lily Mini White,Calla Lily Mini,484257
Calla Lily Mini Yellow,Calla Lily Mini,484262
Calla Lily Mini Yellow,Calla Lily Mini,484263
Calla Lily Mini Yellow,Calla Lily Mini,484264
Calla Lily Super White,Calla Lily,484681
Campanula Pink,Campanula,490412
Campanula Purple,Campanula,490413
Campanula White,Campanula,490411
Carnation Bernard Dark Pink Select,Carnation,514191
Carnation Bizet Hot Pink Select,Carnation,484790
Carnation Brut Blush Select,Carnation,823385
Carnation Burgundy Select,Carnation,484716
Carnation Cream Select,Carnation,484720
Carnation Creola Antique Pink Select,Carnation,484808
Carnation Diletta Cream Cream Select,Carnation,514214
Carnation Dollar Dark Pink Select,Carnation,4586352
Carnation Doncel Blush Select,Carnation,514218
Carnation Farida Lavender Select,Carnation,484828
Carnation Golem Purple Select,Carnation,514235
Carnation Green Select,Carnation,484728
Carnation Hot Pink Select,Carnation,484732
Carnation Ikebana Medium Pink Select,Carnation,644154
Carnation Kaori Pink Select,Carnation,514262
Carnation Komachi Pink/White Select,Carnation,484861
Carnation Lege Marrone Beige Select,Carnation,799475
Carnation Lege Pink Pink Select,Carnation,484867
