product_name,competitor_product_id
Accordion Palm Green,2274274
Achillea Red,1896087
Achillea Orange,2223870
Achillea White,1904551
Agapanthus Blue,2130794
Agonis Foliage,2148831
ALLIUM GLADIATOR,2228335
Alstro Assorted Select,1858875
Alstro Hot Pink Amposta Select,1859173
Alstro Orange Hot Pepper Select,1862480
Alstro Purple Shiny Purple Select,2271333
Alstro Red Nadya Select,1859142
Alstro Red Romance Select,1862483
Alstro White Himalaya Select,1864601
Alstro White Mistral Select,2136820
Alstro White Snowtime Select,2211631
Alstro White Virginia Select,2143152
Alstro White Whistler Select,1864604
Alstro White Winterfell Select,2140558
Alstro Yellow Gold Select,2236781
Alstro Yellow Jamaica Select,1865618
Alstro Yellow Sunny Lady Select,2127718
Alstro Yellow Voyager Select,2136828
ALSTROEMERIA PURPLE,327568
ALSTROEMERIA RED,327572
Alstroemeria White Select,2220874
AMARANTHUS HANGING GREEN,324966
Anemone Hot Pink,2155501
ANEMONE RED,1897430
Anemone SPX Red,2247028
ANEMONE WHITE,2077796
ASPIDISTRA GREEN,326513
Aspidistra Green,2219812
Aspidistra Green,2134960
Aspidistra Milky Way,2220760
Aspidistra Variegated,2134964
Aspidistra Variegated,2220303
Aster Assorted Matsumoto,2184608
Aster Hot Pink  Matsumoto,2188669
Aster Matsumoto Purple Select,2131038
Aster Solidago Yellow Open Cut Select,2131064
Aster Tinted Red Solidago Select,1890745
ASTER YELLOW SOLIDAGO,1836683
Astilbe White,2182514
Astrantia Assorted,2211830
Astrantia Assorted,2270107
Astrantia Burgundy,2212074
Astrantia Pink,2214861
AUSTRALIAN MIX MIX  MIX,2221165
Baby Blue Euc Green,2134966
Baby Blue Euc GREEN,2220775
Bayleaf Green,2270310
Bayleaf Green,2270312
Beargrass Green,2220769
Beargrass Green,2134968
BIRCH BRANCHES Gold With GLITTER,2258295
BIRCH BRANCHES White FROSTED SNOW ,2271358
Bouquet Salal Green Bqt,2143945
Brassica Kale Assorted,2131085
Calathea Green ZEBRINA,2227763
Calla Green Goddess,2131100
Calla Mini Assorted,2211971
Calla Mini Black,2274276
Calla Mini Purple,2264378
Calla White Magnum,2131106
Calla White Premium,2131116
Calla White Select,2131120
Callas with Leaf White,2216971
Campanula Purple,2274277
Carnation Hot Pink Select,2274139
CARNATION PEPERMINT NAVIDAD SELECT,2269886
CARNATION WHITE SELECT,2096090
Carns Assorted Select,2131178
Carns Bi Color Burgundy Nobbio Burgundy Std,1886969
Carns Florigene Assorted Select,1857939
Carns Florigene Moonshade Purple Select,1859014
Carns Hot Pink Bizet Select,2131321
Carns Hot Pink Cervantes Select,2085704
Carns Hot Pink Cervantes Std,2085706
Carns Hot Pink Oviedo Select,2263141
Carns Hot Pink Zeppelin Select,2072924
Carns M Day Pack Select,1995013
Carns Minami Assorted Select,2097700
Carns Novelty Assorted Select,1857992
Carns Orange Lion King Select,1858001
Carns Orange Megan Std,1876453
Carns Pink Ilusion Std,1951169
Carns Purple Damascus Std,2228317
Carns Rainbow CBU,2274262
Carns Tinted Radiant Cotton Candy Select,2228799
Carns Tinted Radiant Rainbow CCT  Select,2235928
Carns Vintage Pink Creola Select,2136842
Carns Vintage Pink Turron Select,2254427
Carns Vintage Red Cover Wine Select,1889627
Carns Vintage Dusty Pink Lege Pink Select,1858059
Carns Vintage Mix Select,2131477
Carns Vintage Peach Honey Select,2176852
Carns Vintage Peach Lege Marrone Std,2077151
Carns Vintage Terracota Caramel Select,1859518
Carns White Moonlight Select,1858073
Carns White Moonlight Std,1860422
Cat Palm Geen,2219750
Cat Palm Green,2172357
Cherry Blossom Pink Large,2215970
Cherry Blossom White Large,2215974
Cherry Blossom White Medium,2215976
CHILEAN MIX MIX MIX,2261258
Chocolate Lace Green ,2228390
CHRY DISBUD BALL PINK LYCHEE,2271352
Cleopatra Fern Green,2220963
Cocculus Green,2134976
Cocculus Green ,2274330
Cocculus GREEN FLORIDA,2221081
CONFETTI EASTER,2146604
Coontie Green,2210518
Copper Beech RED,2270546
CREMON WHITE,47
CREMON YELLOW,9525
Curly Willow Large Brown,2148464
Curly Willow Medium Brown,2138219
CURLY WILLOW TIPS,326493
Curly Willow Tips BROWN GREEN TIPS,2138221
CUSHION YELLOW,328569
DELPHINIUM ASSORTED,2219999
