competitor_product_id,competitor,matched_ibuyflowers,matched_variety
40531,Stock Pink and White Antique,Null,Null
24996,Statice Purple Tissue Queens,Null,Null
26814,Artemisia Dusty Miller Large Leaf,Null,Null
26967,Artemisia Dusty Miller Lacey,Dusty Lacey Miller Silver,e47a4311-9e5e-4762-b94e-408ee36afcf3
17732,Statice lush Tissue,Null,Null
40531,Stock Pink and White Antique,Null,Null
26719,Astilbe Pink Europa,Null,Null
26131,Rose Orange Free Spirit,Null,Null
62094,Rose Orange Free Spirit,Null,Null
49842,Rose Orange Free Spirit,Null,Null
51272,Rose Orange Free Spirit,Null,Null
24348,Rose Orange Free Spirit,Null,Null
52871,Rose Orange Free Spirit,Null,Null
51090,Rose Orange Free Spirit,Null,Null
30985,Rose Orange Free Spirit,Null,Null
10754,Astilbe Pink Erica,Astilbe Erika Pink,43dd3e59-79da-4b28-8c13-79f7e1d60733
63370,Rose Yellow Momentum,Momentum Roses Yellow,275f40d0-78d9-46b8-b24e-d09637a7afa0
47260,Rose Yellow Momentum,Momentum Roses Yellow,275f40d0-78d9-46b8-b24e-d09637a7afa0
52079,Stock Assorted lora,Assorted Mixed Stock,b8f5e1d3-adb2-4eb5-b0c1-37e6102ea52c
45094,Stock White Spray,Stock White,5de3bbad-c3b8-4c77-aa4e-ec49154b374a
25240,Amaranthus Green Hanging,Amaranthus Green Hanging,a035bd55-23af-4c21-83b0-baef07669984
39710,Stock Assorted Spray,Assorted Mixed Spray Stock,1cdd0e18-f022-4bf4-b588-0e3bfe47b671
40736,Rose Pink Opala,Null,Null
41301,Campanula Purple,Campanula Purple,ab43b132-ced7-4644-b458-756d0015cc76
41303,Campanula Pink,Campanula Pink,4dfcae7b-b869-4e53-b242-065f9e29b4b5
41302,Campanula White,Campanula White,dec568b5-e939-43a6-9354-368a663f6430
21547,Craspedia Yellow,Null,Null
75125,Stock Light Pink,Light Pink Stock,7dc29cc5-d734-449a-922c-60621994b4ed
31690,Dianthus Amazon Cherry,Amazon Dianthus Magic Pink Rose,102a5f12-bc1b-40f9-ab0c-662436d9354e
31947,Dianthus Amazon Purple,Amazon Dianthus Neon Purple,b405d869-8683-4acb-bb43-90f15a113dea
75125,Stock Pink Light,Light Pink Stock,7dc29cc5-d734-449a-922c-60621994b4ed
40358,Rose Red Explorer,Explorer Red Roses,41a167bd-bf87-4f11-8afa-1c9cbb3a3cca
52827,Rose Red Explorer,Explorer Red Roses,41a167bd-bf87-4f11-8afa-1c9cbb3a3cca
