competitor_product_id,competitor,matched_ibuyflowers,matched_variety
2160538,Achillea,Null,Null
2160540,Alstroemeria Assorted,Alstroemeria Assorted Mixed,c93bbc06-a172-494d-b352-4ad50f082de1
2160542,Alstroemeria Hot Pink,Alstroemeria Hot Pink,f3b59026-24b4-441c-acb9-fece0736e3b9
2160544,Alstroemeria Lavender,Alstroemeria Lavender,766d1c52-bd9e-433d-8ad2-568178b0db70
2160546,Alstroemeria Orange Queen,Alstroemeria Orange Queen,1b2ec8fb-dfa1-4f37-bce5-76139ece8e24
2160548,Alstroemeria Prima Donna,Alstroemeria Pink Primadonna,28dd0db2-a9c8-40d4-8a08-b7665a4dc6c2
2160550,Alstroemeria Purple,Alstroemeria Purple,f5f2fc30-8431-4fe0-bd58-85f90b087d37
2160552,Alstroemeria Red,Alstroemeria Red,5c0e43f6-cd85-41ac-9651-17f66283d1e6
2160554,Alstroemeria White,Alstroemeria White,e500d7b6-a2a1-4965-aabe-f5170b5f64ad
2160556,Alstroemeria Yellow,Alstroemeria Yellow,14ce1ae8-7875-4016-b334-81ae322fbe10
2160558,Amaranthus Hanging Assorted,Amaranthus Hanging Pink Red,ac7dc5a8-e6bf-4940-85e2-81eeaeeb7722
2160560,Amaranthus Hanging Green,Amaranthus Green Hanging,a035bd55-23af-4c21-83b0-baef07669984
2160562,Amaranthus Hanging Red,Amaranthus Hanging Pink Red,ac7dc5a8-e6bf-4940-85e2-81eeaeeb7722
2160564,Anemone Assorted,Anemone Assorted Mixed Seasonal,71736aec-be6d-4714-bf80-1bdbcca274ff
2160566,Anemone Blush,Anemone Blush Mistral Plus White,33f2d0fc-0785-4be1-8e77-913eb1f797a2
2236674,Anemone Burgundy,Null,Null
2160568,Anemone Hot Pink,Anemone Hot Pink,a88a8f72-1929-40d5-a506-817d915d5c6f
2236623,Anemone Levante Blue,Anemone Levante Pale White,ffc0601b-7333-4cf5-aa46-9467eab62779
2236627,Anemone Levante Hot Pink,Anemone Levante Pink,2f1f64a4-32e7-44b8-a036-82c5d342b596
2236625,Anemone Levante Pink,Anemone Levante Pink,2f1f64a4-32e7-44b8-a036-82c5d342b596
2236626,Anemone Levante Red,Anemone Levante Red,af6f8eab-8e58-49d5-a47f-82fd8ea22cfc
2236624,Anemone Levante White,Anemone Levante Pale White,ffc0601b-7333-4cf5-aa46-9467eab62779
