competitor_product_id,competitor,matched_ibuyflowers,matched_variety
8448957,Achillea Ptarmica Pearl White,Matricaria White,e8e5ba5b-a4e8-4531-85aa-83df24074212
490587,Agapanthus Blue,Agapanthus Blue Dark,cef57bc3-3538-4ed8-a971-b1482cb8c134
483748,Alstroemeria Assorted Select,Alstroemeria Assorted Mixed,c93bbc06-a172-494d-b352-4ad50f082de1
490071,Alstroemeria Assorted Super Select,Null,Null
941010,Alstroemeria Dirty Dancing Cream Select,Null,Null
941011,Alstroemeria Dirty Dancing Cream Super Select,Null,Null
1032021,Alstroemeria Dubai Light Pink Select,Alstroemeria Dubai Pink,e421f204-3869-47bb-be9e-109a31422e3c
940750,Alstroemeria Fifi Light Pink Select,Null,Null
940751,Alstroemeria Fifi Light Pink Super Select,Null,Null
1050612,Alstroemeria Galaxy Lavender Select,Null,Null
1050613,Alstroemeria Galaxy Lavender Super Select,Null,Null
14631876,Alstroemeria Green Planet Green Select,Alstroemeria Green,2e52f64f-0e58-4ac8-bc8a-c7777d55acb2
483772,Alstroemeria Hot Pink Select,Alstroemeria Hot Pink,f3b59026-24b4-441c-acb9-fece0736e3b9
483771,Alstroemeria Hot Pink Super Select,Alstroemeria Hot Pink,f3b59026-24b4-441c-acb9-fece0736e3b9
483776,Alstroemeria Lavender Select,Alstroemeria Lavender,766d1c52-bd9e-433d-8ad2-568178b0db70
483775,Alstroemeria Lavender Super Select,Alstroemeria Lavender Super Select,Null
484034,Alstroemeria Nadya Red Select,Null,Null
484033,Alstroemeria Nadya Red Super Select,Null,Null
484058,Alstroemeria Orange Queen Orange Select,Alstroemeria Orange Queen,1b2ec8fb-dfa1-4f37-bce5-76139ece8e24
484057,Alstroemeria Orange Queen Orange Super Select,Alstroemeria Orange Queen,1b2ec8fb-dfa1-4f37-bce5-76139ece8e24
483784,Alstroemeria Orange Select,Alstroemeria Orange,62754179-a5fb-4c9e-a221-1879b7252418
483783,Alstroemeria Orange Super Select,Null,Null
483792,Alstroemeria Pink Select,Alstroemeria Pink Select,Null
483791,Alstroemeria Pink Super Select,Alstroemeria Pink Super Select,Null
1822883,Alstroemeria Pink/White Select,Null,Null
1822884,Alstroemeria Pink/White Super Select,Alstroemeria Bella Super White,83dc5f85-4df4-4d2d-b6ef-ec23925b2ec2
484070,Alstroemeria Primadonna Pink Select,Alstroemeria Pink Primadonna,28dd0db2-a9c8-40d4-8a08-b7665a4dc6c2
484069,Alstroemeria Primadonna Pink Super Select,Alstroemeria Pink Primadonna,28dd0db2-a9c8-40d4-8a08-b7665a4dc6c2
646524,Alstroemeria Shakira Green Select,Null,Null
484110,Alstroemeria Tampa Orange Select,Null,Null
645936,Alstroemeria Voyager Yellow Select,Null,Null
1052765,Alstroemeria Whistler White Select,Alstroemeria Whistler White,75f2ac45-c272-41fd-8e1a-170f163cc328
1052766,Alstroemeria Whistler White Super Select,Alstroemeria Whistler White,75f2ac45-c272-41fd-8e1a-170f163cc328
483808,Alstroemeria White Select,Alstroemeria White,e500d7b6-a2a1-4965-aabe-f5170b5f64ad
483807,Alstroemeria White Super Select,Alstroemeria White,e500d7b6-a2a1-4965-aabe-f5170b5f64ad
500277,Amaranthus Hanging Green,Amaranthus Green Hanging,a035bd55-23af-4c21-83b0-baef07669984
