competitor_product_id,competitor,matched_ibuyflowers,matched_variety
1791250432061,3D Rose,Null,Null
4516904075363,5 Star Jumbo Gerber Daisy 40 ,Null,Null
4516904075363,5 Star Jumbo Gerber Daisy 50 ,Null,Null
8152609227061,Absolute In Pink Rose,Absolute Pink Roses,aed08d76-4782-479f-8426-9f93e180ebbe
8463997927733,Africana Orange Rose,Null,Null
8464046948661,Akito Rose,Akito Roses White,6958ab90-871d-4d3e-be35-11a496e2118d
4516904960099,Alarda Jumbo Gerber Daisy 40 ,Null,Null
4516904960099,Alarda Jumbo Gerber Daisy 50 ,Null,Null
4548189847651,All 4 Love Garden Rose,All For Garden Love Pink Roses,1b8586e0-db22-4ce5-8b3e-bb7e3b45f6dd
8379464843573,Aloha Rose,Aloha Orange Roses,ec99c2c0-ef14-4960-bf13-48ac7a071792
8282599850293,Aly Rose,Aly Pink Roses,13dfb1bd-5e5e-479d-855e-590948213b0d
4411495022691,Amaranthus Green Hanging ,Amaranthus Green Hanging,a035bd55-23af-4c21-83b0-baef07669984
4411490336867,Amaranthus Red Hanging ,Amaranthus Hanging Pink Red,ac7dc5a8-e6bf-4940-85e2-81eeaeeb7722
8078642774325,Amatista Alstroemeria ,Null,Null
4376142708835,Amnesia Rose,Amnesia Lavender Roses,c7aedaca-dac0-48fc-ad08-9945e33cbb7b
8745540583733,Amos Red Carnation ,Null,Null
1791258722365,Amsterdam Rose,Amsterdam Cream Roses,627b12e6-a245-481d-89e5-4c3d66e9849b
4638435082339,Andrea Cremon Chrysanthemum ,Andrea Chrysanthemum Cremon Disbuds/ Mums Purple,29d564d6-2845-4029-8f35-9c854cd0de84
1765106647101,Andrea Garden Rose,Andrea Lavender Roses,bb76cd81-c9e8-4eb9-ad8d-ec34c091cdf1
4765468229731,Anna Rose,Anna Pink Roses,abedf433-f816-4d50-b2c2-c185e42b376e
4375824105571,Apricot Double Stock ,Apricot Stock,6a6f571d-70f4-42ad-9b98-3d5b104d8d06
8146472665397,Apricot Spray Stock ,Apricot Stock,6a6f571d-70f4-42ad-9b98-3d5b104d8d06
1827072016445,Ard White Solomio ,Ard Dianthus Solomio White,2c1e8cff-5e38-455c-9bf9-bed60f41c420
1842284036157,Areca Palm ,Null,Null
6729504915555,Artemis Butterfly Ranunculus 40 ,Artemis Butterfly Ranunculus Yellow,f518b58f-cd6e-48fa-b37e-e20065f26821
4396080562275,Artica Rose,Null,Null
8490188734773,Aspidistra Leaf ,Null,Null
6635822776419,Astroid Cremon Chrysanthemum ,Chrysanthemum Cremon Disbuds/ Mums Purple Tornado,eb5da0d9-dbaa-40e3-a06d-d3e169b0b23a
8381223108917,Atomic Rose,Atomic Orange Roses,b63afff4-5d7d-4578-a213-2c7bc6c1f566
4419596320867,Aubade Rose,Aubade Orange Roses,4ff541cb-df9d-40b1-b796-b793d387b624
8280653070645,Avalanche Rose,Avalanche Roses White,ff25c529-5ac1-4404-a678-f8eb50c60872
8062173544757,Babylon Carnation ,Babylon Carnation Pink,374bb645-82f2-4a33-9869-3e0c11aa6129
4515345465443,Balance Jumbo Gerber Daisy 40 ,Null,Null
4515345465443,Balance Jumbo Gerber Daisy 50 ,Null,Null
1826970271805,Balboa Purple Lisianthus ,Balboa Double Lisianthus Purple,b677457c-ac98-42ad-b2fd-629e04af198b
8028432859445,Bali Spray Rose,Bali Peach Roses Spray,51b9ef8f-7ef2-4238-ad2a-5672e3041940
6635823857763,Baltazar Spider Chrysanthemum ,Null,Null
8271390572853,Barista Rose,Barista Pink Roses,f4934a99-08a3-4868-a43d-3c198d7c5bc3
8381251780917,Be Sweet Rose,Be Pink Roses Sweet,e375f496-393f-42ec-922e-fccc9cab6fda
6549534474339,Bells of Ireland (Molucella) ,Bells Green Ireland Molucella Of,7a807e5f-c371-4970-ba7c-0382161d9a1e
