competitor_product_id,competitor,matched_ibuyflowers,variety_key
2274274,Accordion Palm Green,Null,Null
1896087,Achillea Red,Null,Null
2223870,Achillea Orange,Null,Null
1904551,Achillea White,Null,Null
2130794,Agapanthus Blue,Blue Agapanthus,b7bfd76a-e2e2-4f50-a71d-d12d3bfd7e14
2148831,Agonis Foliage,Burgundy Agonis,29455f8b-10e8-4ba0-bc88-2063c0dd6a90
2228335,ALLIUM GLADIATOR,Null,Null
1858875,Alstro Assorted Select,Mixed Assorted Alstroemeria,c93bbc06-a172-494d-b352-4ad50f082de1
1859173,Alstro Hot Pink Amposta Select,Pink Hot Alstroemeria,f3b59026-24b4-441c-acb9-fece0736e3b9
1862480,Alstro Orange Hot Pepper Select,Null,Null
2271333,Alstro Purple Shiny Purple Select,Purple Alstroemeria,a5b3905b-e75e-40bc-a0a6-d1d96af19c4b
1859142,Alstro Red Nadya Select,Red Nadia Alstroemeria,dc041234-358c-4bb6-8b35-556f451d1df3
1862483,Alstro Red Romance Select,Red Romance Alstroemeria,b5efd842-2293-4a5f-951c-eb7bd2cca089
1864601,Alstro White Himalaya Select,White Himalaya Alstroemeria,aa542ea5-8087-41a3-bd5a-dce4efe98366
2136820,Alstro White Mistral Select,White Mistral Plus Panda Anemone,e56327e5-2632-40da-ac60-f9da0cb6179b
2211631,Alstro White Snowtime Select,Null,Null
2143152,Alstro White Virginia Select,White Virginia Alstroemeria,76d3ce7b-fcc5-4ac1-a89f-2ca9774801bf
1864604,Alstro White Whistler Select,White Whistler Alstroemeria,75f2ac45-c272-41fd-8e1a-170f163cc328
2140558,Alstro White Winterfell Select,Null,Null
2236781,Alstro Yellow Gold Select,Yellow Alstroemeria,14ce1ae8-7875-4016-b334-81ae322fbe10
1865618,Alstro Yellow Jamaica Select,Null,Null
2127718,Alstro Yellow Sunny Lady Select,Yellow Sunny Lady Alstroemeria,d0b7b45b-738b-4ff3-9667-f8bd91ac3321
2136828,Alstro Yellow Voyager Select,Null,Null
327568,ALSTROEMERIA PURPLE,Purple Alstroemeria,a5b3905b-e75e-40bc-a0a6-d1d96af19c4b
327572,ALSTROEMERIA RED,Red Alstroemeria,56cfbb87-dabe-4071-b3db-e2ac521a610f
2220874,Alstroemeria White Select,White Alstroemeria,46eacfd0-0f34-4452-9d2d-d56c227b936f
324966,AMARANTHUS HANGING GREEN,Green Hanging Amaranthus,a035bd55-23af-4c21-83b0-baef07669984
2155501,Anemone Hot Pink,Pink Full Star Hot Anemone,4dc3785c-29ce-41d9-a927-c01ebec1e67c
1897430,ANEMONE RED,Red Anemone,f94664ba-fd1a-4c84-af02-92761b5d6451
2247028,Anemone SPX Red,Red Full Star Anemone,df69988d-ba2f-4bd0-b51e-e5dd4b68491a
2077796,ANEMONE WHITE,White Anemone,7b6fb0c0-643a-436f-b712-cc5ee4ad2b8a
326513,ASPIDISTRA GREEN,Green Aspidistra,4bc3006d-c2c3-4f27-9725-9d5033c6568a
2219812,Aspidistra Green,Green Aspidistra,4bc3006d-c2c3-4f27-9725-9d5033c6568a
2134960,Aspidistra Green,Green Aspidistra,4bc3006d-c2c3-4f27-9725-9d5033c6568a
2220760,Aspidistra Milky Way,Green Milky Way Aspidistra,91b5d6bc-c3c1-4f11-b2d8-83ad041cf70f
2134964,Aspidistra Variegated,Variegated Aspidistra,36b75d67-defd-4b5e-a3df-218a67d52d21
2220303,Aspidistra Variegated,Variegated Aspidistra,36b75d67-defd-4b5e-a3df-218a67d52d21
2184608,Aster Assorted Matsumoto,Mixed Matsumoto Assorted Aster,6c8bd6ea-0373-48ca-a17c-315e1a16d141
2188669,Aster Hot Pink  Matsumoto,Pink Matsumoto Scarlette Aster,fc58fbba-6f78-4a7a-9e9a-1617afc989d3
2131038,Aster Matsumoto Purple Select,Purple Matsumoto Blue Aster,22655a27-ee45-401b-b4c1-41a86d6d4c8b
