competitor,competitor_product_id,competitor_product_name,competitor_product_group_name,unit,color,stem_length,stems_per_unit,unit_price,stem_price,available_units,grower_country,product_url,created_at,eta_date
Dvflora,10697,Peony Pink Lt Angel Cheeks 5st,Peony,Bu,Pink,,5,,,,Peony Pink Lt Angel Cheeks 5st,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest,2025-05-28,2025-06-05
Dvflora,10473,Peony Blush Gardenia 5st,Peony,Bu,Blush Pink,,5,,,,Holland,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest,2025-05-28,2025-06-05
Dvflora,10473,Peony Blush Gardenia 5st,Peony,Bu,Pink,,5,,,,Holland,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest,2025-05-28,2025-06-05
Dvflora,23204,Pom Pon Yel. Viking Sundi 5pk,Pom Pons,Bu,Yellow,,1,4.69,4.69,5,Colombia,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest,2025-05-28,2025-06-05
Dvflora,23259,Pom Pon Yel. Viking Vybowl 5pk,Pom Pons,Bu,Yellow,,1,4.59,4.59,5,Colombia,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest,2025-05-28,2025-06-05
Dvflora,58012,Pom Pon Yellow Viking 6pk,Pom Pons,Bu,Yellow,,1,4.89,4.89,6,Colombia,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest,2025-05-28,2025-06-05
Dvflora,54836,Pom Pon Yellow Zippo 6pk,Pom Pons,Bu,Yellow,,1,5.39,5.39,6,Colombia,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest,2025-05-28,2025-06-05
Dvflora,45758,Rose Lav Andrea 50cm,Roses-Standard,Stem,Lavender,50,1,1.49,1.49,25,Ecuador,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest,2025-05-28,2025-06-05
Dvflora,45759,Rose Lav Andrea 60cm,Roses-Standard,Stem,Lavender,60,1,1.59,1.59,25,Ecuador,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest,2025-05-28,2025-06-05
Dvflora,48225,Pom Pon Green Athos,Pom Pons,Bu,Green,,1,4.99,4.99,24,Colombia,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest,2025-05-28,2025-06-05
Dvflora,31603,Pom Pon Green Athos 5pk,Pom Pons,Bu,Green,,1,3.99,3.99,5,Colombia,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest,2025-05-28,2025-06-05
Dvflora,62883,Pom Pon Green Athos 6pk,Pom Pons,Bu,Green,,1,3.59,3.59,6,Colombia,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest,2025-05-28,2025-06-05
Dvflora,51356,Rose Pk Lady Eva 70cm,Roses-Standard,Stem,Pink,70,1,1.69,1.69,25,Ecuador,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest,2025-05-28,2025-06-05
Dvflora,23116,Peony White Festiva Maxima 10s,Peony,Bu,White,,1,,,,New Jersey,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest,2025-05-28,2025-06-05
Dvflora,12671,Peony White Festiva Maxima 5st,Peony,Bu,White,,5,,,,Maryland,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest,2025-05-28,2025-06-05
Dvflora,68375,Pom Pon Lav Roselle 6pk,Pom Pons,Bu,Lavender,,1,4.99,4.99,6,Colombia,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest,2025-05-28,2025-06-05
Dvflora,54033,Rose Pk Mother of Prl 50cm,Roses-Standard,Stem,Pink,50,1,1.55,1.55,25,Ecuador,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest,2025-05-28,2025-06-05
Dvflora,45792,Rose Pk Mother of Prl 60c Cs50,Roses-Standard,Stem,Pink,60,1,1.55,1.55,50,Ecuador,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest,2025-05-28,2025-06-05
Dvflora,25195,Rose Pk Mother of Prl 60cm,Roses-Standard,Stem,Pink,60,1,1.65,1.65,25,Ecuador,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest,2025-05-28,2025-06-05
Dvflora,54034,Rose Pk Mother of Prl 60cm,Roses-Standard,Stem,Pink,60,1,1.65,1.65,25,Ecuador,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest,2025-05-28,2025-06-05
Dvflora,59171,Pom Pon Blue Ocean Jade,Pom Pons,Bu,Violet-Blue,,1,5.79,5.79,18,Colombia,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest,2025-05-28,2025-06-05
Dvflora,23110,Peony Pink Sara B 10st,Peony,Bu,Pink,,10,,,,Local,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest,2025-05-28,2025-06-05
Dvflora,33768,Peony Pink Sara B 5st,Peony,Bu,Pink,,5,,,,Peony Pink Sara B 5st,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest,2025-05-28,2025-06-05
Dvflora,10697,Peony Pink Lt Angel Cheeks 5st,Peony,Bu,Pink-Light,,5,,,,Peony Pink Lt Angel Cheeks 5st,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest,2025-05-28,2025-06-05
