competitor,competitor_product_id,competitor_product_name,competitor_product_group_name,unit,color,stem_length,stems_per_unit,unit_price,stem_price,available_units,grower_country,cleaned_name_used,created_at,eta_date
DVFlora,27444,Bq Deluxe Sampler 10/14st,Bouquets,Bu,Assorted,,14,11.79,11.79,10,Ecuador,Bq Deluxe Sampler 10/14st,2025-06-01,2025-06-10
DVFlora,42000,Bq Color Revolution,Bouquets,Bu,Assorted,,9,6.79,6.79,12,Colombia,Bq Color Revolution,2025-06-01,2025-06-10
DVFlora,18125,Bq Blue Sky,Bouquets,Bu,Assorted,,14,12.79,12.79,7,Colombia,Bq Blue Sky,2025-06-01,2025-06-10
DVFlora,12946,Bq Dreamy Days,Bouquets,Bu,Assorted,,10,7.09,7.09,12,Colombia,Bq Dreamy Days,2025-06-01,2025-06-10
DVFlora,13028,Bq Enchanted,Bouquets,Bu,Assorted,,14,12.99,12.99,8,Colombia,Bq Enchanted,2025-06-01,2025-06-10
DVFlora,36586,Calla Lily Mini Blk Odessa,Calla lily,Stem,Purple,50,1,2.29,2.29,10,South America,Calla Lily Mini Blk Odessa,2025-06-01,2025-06-10
DVFlora,36584,Calla Lily Mini Purple,Calla lily,Stem,Purple,50,1,2.29,2.29,10,South America,Calla Lily Mini Purple,2025-06-01,2025-06-10
DVFlora,31698,Calla Lily Mini Pur Picasso,Calla lily,Stem,Bicolor,50,1,2.29,2.29,10,Ecuador,Calla Lily Mini Pur Picasso,2025-06-01,2025-06-10
DVFlora,38283,Calla Lily Mini Pink Perle 40/4,Calla lily,Stem,Pink Light,40,40,1.99,1.99,10,Ecuador,Calla Lily Mini Pink Perle 40/4,2025-06-01,2025-06-10
DVFlora,38284,Calla Lily Mini Pink Perle 50/55,Calla lily,Stem,Pink Light,50,50,2.29,2.29,10,Ecuador,Calla Lily Mini Pink Perle 50/55,2025-06-01,2025-06-10
DVFlora,29969,Calla Lily Mini Orange Mango 50/5,Calla lily,Stem,Orange,50,50,2.29,2.29,10,Ecuador,Calla Lily Mini Orange Mango 50/5,2025-06-01,2025-06-10
DVFlora,17818,Calla Lily Mini Orange Marmald,Calla lily,Stem,Orange,50,1,2.29,2.29,10,South America,Calla Lily Mini Orange Marmald,2025-06-01,2025-06-10
DVFlora,29367,Calla Lily Mini Assorted,Calla lily,Stem,Assorted,50,1,1.99,1.99,70,South America,Calla Lily Mini Assorted,2025-06-01,2025-06-10
DVFlora,36586,Calla Lily Mini Blk Odessa,Calla lily,Stem,Eggplant Purple,50,1,2.29,2.29,10,South America,Calla Lily Mini Blk Odessa,2025-06-01,2025-06-10
DVFlora,36686,Calla Lily Mini Blk Velvet,Calla lily,Stem,Black,40,1,1.99,1.99,10,South America,Calla Lily Mini Blk Velvet,2025-06-01,2025-06-10
DVFlora,35696,Calla Lily Mini Crys. Bl.,Calla lily,Stem,White,50,1,2.49,2.49,10,,Calla Lily Mini Crys. Bl.,2025-06-01,2025-06-10
DVFlora,39874,Calla Lily Mini White,Calla lily,Stem,White,40,1,1.99,1.99,10,South America,Calla Lily Mini White,2025-06-01,2025-06-10
DVFlora,39911,Calla Lily Mini White,Calla lily,Stem,White,50,1,2.29,2.29,10,South America,Calla Lily Mini White,2025-06-01,2025-06-10
DVFlora,36611,Calla Lily Mini White Ventura,Calla lily,Stem,White,40,1,2.29,2.29,10,South America,Calla Lily Mini White Ventura,2025-06-01,2025-06-10
DVFlora,36612,Calla Lily Mini White Ventura,Calla lily,Stem,White,50,1,2.49,2.49,10,South America,Calla Lily Mini White Ventura,2025-06-01,2025-06-10
DVFlora,31436,Calla Lily Mini Yellow Flxgold,Calla lily,Stem,Yellow,50,1,2.29,2.29,10,South America,Calla Lily Mini Yellow Flxgold,2025-06-01,2025-06-10
DVFlora,27079,Calla Lily Mini Yellow,Calla lily,Stem,Yellow,50,1,2.29,2.29,10,Colombia,Calla Lily Mini Yellow,2025-06-01,2025-06-10
DVFlora,38290,Calla Lily Mini Burg Sumatra,Calla lily,Stem,Burgundy,,1,2.29,2.29,10,South America,Calla Lily Mini Burg Sumatra,2025-06-01,2025-06-10
DVFlora,41405,Calla Lily Mini Cranb,Calla lily,Stem,Burgundy,50,50,2.29,2.29,10,Ecuador,Calla Lily Mini Cranb,2025-06-01,2025-06-10
DVFlora,38092,Calla Lily Mini Red Maj. 50/55,Calla lily,Stem,Burgundy,50,50,2.29,2.29,10,South America,Calla Lily Mini Red Maj. 50/55,2025-06-01,2025-06-10
DVFlora,33044,Calla Lily Mini Schwarz,Calla lily,Stem,Burgundy,50,50,2.29,2.29,10,Ecuador,Calla Lily Mini Schwarz,2025-06-01,2025-06-10
DVFlora,41439,Calla Lily Mini Pink,Calla lily,Stem,Pink,50,1,2.29,2.29,10,South America,Calla Lily Mini Pink,2025-06-01,2025-06-10
DVFlora,38337,Calla Lily Mini Pink Hot,Calla lily,Stem,Pink,50,1,2.29,2.29,10,Ecuador,Calla Lily Mini Pink Hot,2025-06-01,2025-06-10
DVFlora,38283,Calla Lily Mini Pink Perle 40/4,Calla lily,Stem,Pink,40,40,1.99,1.99,10,Ecuador,Calla Lily Mini Pink Perle 40/4,2025-06-01,2025-06-10
DVFlora,38284,Calla Lily Mini Pink Perle 50/55,Calla lily,Stem,Pink,50,50,2.29,2.29,10,Ecuador,Calla Lily Mini Pink Perle 50/55,2025-06-01,2025-06-10
DVFlora,38021,Calla Lily White Open,Calla lily,Stem,White,80,80,2.29,2.29,5,Colombia,Calla Lily White Open,2025-06-01,2025-06-10
