color,competitor,competitor_product_group_name,competitor_product_id,competitor_product_name,created_at,eta_date,matched_product_group_name,matched_variety_name,price_per_stem,product_group_key,product_group_score,stem_length,stems_per_unit,unit,unit_price,variety_key,variety_score
Green,Flowermarketplace,Greens,2162219,ARALIA EX,2025-05-03,2025-05-13,,Aralia Large,0.83,,,,1,Stems,1.11,c069c20b-5828-47e5-92f2-d655cf4db904,0.9191118478775024
Green,Flowermarketplace,Greens,2162220,ARALIA I,2025-05-03,2025-05-13,,,0.6,,,,1,Stems,0.8,,
Green,Flowermarketplace,Greens,2162221,ARALIA II,2025-05-03,2025-05-13,,Aralia Large,0.45,,,,1,Stems,0.6,c069c20b-5828-47e5-92f2-d655cf4db904,0.9214158058166504
Green,Flowermarketplace,Greens,2162222,ARALIA III,2025-05-03,2025-05-13,,Aralia Large,0.43,,,,1,Stems,0.57,c069c20b-5828-47e5-92f2-d655cf4db904,0.9141515493392944
Green,Flowermarketplace,Greens,2162223,ARALIA IV,2025-05-03,2025-05-13,,Aralia Large,0.36,,,,1,Stems,0.49,c069c20b-5828-47e5-92f2-d655cf4db904,0.9154231548309326
Green,Flowermarketplace,Greens,2162218,ARALIA SUPER,2025-05-03,2025-05-13,,,0.91,,,,1,Stems,1.23,,
Red,Flowermarketplace,ARANTHERA,2177154,ARANTHERA ANNE BLACK,2025-05-03,2025-05-13,Aranthera,Aranthera Anne Black,30.16,61642357-229e-4cf7-b197-cf52e4978299,1.000000238418579,,1,Bunch,30.16,bd1a20cb-d4f3-469e-abc6-e31d7af52723,0.9801385402679443
Red,Flowermarketplace,ARANTHERA,2177155,ARANTHERA AZIMAH,2025-05-03,2025-05-13,Aranthera,Aranthera Azima Red,36.66,61642357-229e-4cf7-b197-cf52e4978299,1.000000238418579,,1,Bunch,36.66,6730a9ce-1bc8-42e3-a4eb-c86424eddc17,0.9571267366409302
Red,Flowermarketplace,ARANTHERA,2177156,ARANTHERA JAME RED,2025-05-03,2025-05-13,Aranthera,Aranthera Anne Black,30.16,61642357-229e-4cf7-b197-cf52e4978299,1.000000238418579,,1,Bunch,30.16,bd1a20cb-d4f3-469e-abc6-e31d7af52723,0.9726394414901733
Brown,Flowermarketplace,ARANTHERA,2177157,ARANTHERA MAGIE OIE,2025-05-03,2025-05-13,Aranthera,Aranthera Anne Black,30.16,61642357-229e-4cf7-b197-cf52e4978299,1.000000238418579,,1,Bunch,30.16,bd1a20cb-d4f3-469e-abc6-e31d7af52723,0.9721210598945618
Green,Flowermarketplace,Greens,2162224,ASPIDISTRIA,2025-05-03,2025-05-13,,Aspidistra Green,1.06,,,100,1,Stems,1.43,4bc3006d-c2c3-4f27-9725-9d5033c6568a,0.9877517819404602
Green,Flowermarketplace,Greens,2162230,ASPIDISTRIA,2025-05-03,2025-05-13,,Aspidistra Green,0.04,,,40,1,Stems,0.06,4bc3006d-c2c3-4f27-9725-9d5033c6568a,0.9877517819404602
Green,Flowermarketplace,Greens,2162229,ASPIDISTRIA,2025-05-03,2025-05-13,,Aspidistra Green,0.49,,,50,1,Stems,0.66,4bc3006d-c2c3-4f27-9725-9d5033c6568a,0.9877517819404602
Green,Flowermarketplace,Greens,2162228,ASPIDISTRIA,2025-05-03,2025-05-13,,Aspidistra Green,0.53,,,60,1,Stems,0.71,4bc3006d-c2c3-4f27-9725-9d5033c6568a,0.9877517819404602
Green,Flowermarketplace,Greens,2162227,ASPIDISTRIA,2025-05-03,2025-05-13,,Aspidistra Green,0.77,,,70,1,Stems,1.03,4bc3006d-c2c3-4f27-9725-9d5033c6568a,0.9877517819404602
Green,Flowermarketplace,Greens,2162226,ASPIDISTRIA,2025-05-03,2025-05-13,,Aspidistra Green,0.83,,,80,1,Stems,1.11,4bc3006d-c2c3-4f27-9725-9d5033c6568a,0.9877517819404602
Green,Flowermarketplace,Greens,2162225,ASPIDISTRIA,2025-05-03,2025-05-13,,Aspidistra Green,0.87,,,90,1,Stems,1.17,4bc3006d-c2c3-4f27-9725-9d5033c6568a,0.9877517819404602
Brown,Flowermarketplace,dried,2162243,CINEREA METAL COPPER 150 Green,2025-05-03,2025-05-13,Dried Products,,11.6,523df0d8-3b48-45e3-b9c8-44de0f9ec856,0.9325540065765381,,1,Bunch,15.57,,
Yellow,Flowermarketplace,dried,2162241,CINEREA METAL GOLD 150 Green,2025-05-03,2025-05-13,Dried Products,,11.6,523df0d8-3b48-45e3-b9c8-44de0f9ec856,0.9325540065765381,,1,Bunch,15.57,,
Red,Flowermarketplace,dried,2162244,CINEREA METAL RED 150 Green,2025-05-03,2025-05-13,Dried Products,,11.6,523df0d8-3b48-45e3-b9c8-44de0f9ec856,0.9325540065765381,,1,Bunch,15.57,,
Silver,Flowermarketplace,dried,2162242,CINEREA METAL SILVER 150 Green,2025-05-03,2025-05-13,Dried Products,,11.6,523df0d8-3b48-45e3-b9c8-44de0f9ec856,0.9325540065765381,,1,Bunch,15.57,,
Silver,Flowermarketplace,dried,2162245,CINEREA SILVER 150 Green,2025-05-03,2025-05-13,Dried Products,,11.6,523df0d8-3b48-45e3-b9c8-44de0f9ec856,0.9325540065765381,,1,Bunch,15.57,,
White,Flowermarketplace,Dendrobium,2177158,DENDROBIUM 5N,2025-05-03,2025-05-13,Dendrobium,Dendrobium 5N (stem),28.08,8f9a0e73-1a98-4ef5-b732-b2ec4900ae3a,1.0,,1,Bunch,28.08,7325a6fe-f74d-407e-b241-2d843bd7ab51,0.9856372475624084
Purple,Flowermarketplace,Dendrobium,2177159,DENDROBIUM ANNA,2025-05-03,2025-05-13,Dendrobium,Dendrobium Black Beauty,29.64,8f9a0e73-1a98-4ef5-b732-b2ec4900ae3a,1.0,,1,Bunch,29.64,c3be219f-4a7e-422d-b24a-c7561931e108,0.9911409020423889
Green,Flowermarketplace,Dendrobium,2177160,DENDROBIUM APPLE GREEN,2025-05-03,2025-05-13,Dendrobium,Dendrobium Black Beauty,30.68,8f9a0e73-1a98-4ef5-b732-b2ec4900ae3a,1.0,,1,Bunch,30.68,c3be219f-4a7e-422d-b24a-c7561931e108,0.9890321493148804
White,Flowermarketplace,Dendrobium,2177161,DENDROBIUM ARIKA,2025-05-03,2025-05-13,Dendrobium,Dendrobium Sakura (stem),30.16,8f9a0e73-1a98-4ef5-b732-b2ec4900ae3a,1.0,,1,Bunch,30.16,c069c20b-5828-47e5-92f2-d655cf4db904,0.9253114461898804
Pink,Flowermarketplace,Dendrobium,2177164,DENDROBIUM BEAUTY PINK,2025-05-03,2025-05-13,Dendrobium,Dendrobium Black Beauty,30.68,8f9a0e73-1a98-4ef5-b732-b2ec4900ae3a,1.0,,1,Bunch,30.68,c3be219f-4a7e-422d-b24a-c7561931e108,0.9939192533493042
Purple,Flowermarketplace,Dendrobium,2177162,DENDROBIUM BELLA PURPLE,2025-05-03,2025-05-13,Dendrobium,Dendrobium Black Beauty,29.9,8f9a0e73-1a98-4ef5-b732-b2ec4900ae3a,1.0,,1,Bunch,29.9,c3be219f-4a7e-422d-b24a-c7561931e108,0.9925219416618347
Pink,Flowermarketplace,Dendrobium,2177163,DENDROBIUM BIG PINK,2025-05-03,2025-05-13,Dendrobium,Dendrobium Big White ,29.9,8f9a0e73-1a98-4ef5-b732-b2ec4900ae3a,1.0,,1,Bunch,29.9,c069c20b-5828-47e5-92f2-d655cf4db904,0.9951633214950562
Blue,Flowermarketplace,Dendrobium,2177165,DENDROBIUM BIG WHITE JUMBO BLUE,2025-05-03,2025-05-13,Dendrobium,Dendrobium Big White ,28.86,8f9a0e73-1a98-4ef5-b732-b2ec4900ae3a,1.0,,1,Bunch,28.86,c069c20b-5828-47e5-92f2-d655cf4db904,0.987754225730896
Green,Flowermarketplace,Dendrobium,2177166,DENDROBIUM BIG WHITE JUMBO GREEN,2025-05-03,2025-05-13,Dendrobium,Dendrobium Big White ,28.86,8f9a0e73-1a98-4ef5-b732-b2ec4900ae3a,1.0,,1,Bunch,28.86,c069c20b-5828-47e5-92f2-d655cf4db904,0.987754225730896
Red,Flowermarketplace,Dendrobium,2177167,DENDROBIUM BIG WHITE JUMBO RED,2025-05-03,2025-05-13,Dendrobium,Dendrobium Big White ,28.86,8f9a0e73-1a98-4ef5-b732-b2ec4900ae3a,1.0,,1,Bunch,28.86,c069c20b-5828-47e5-92f2-d655cf4db904,0.987754225730896
Yellow,Flowermarketplace,Dendrobium,2177168,DENDROBIUM BIG WHITE JUMBO YELLOW,2025-05-03,2025-05-13,Dendrobium,Dendrobium Big White ,28.86,8f9a0e73-1a98-4ef5-b732-b2ec4900ae3a,1.0,,1,Bunch,28.86,c069c20b-5828-47e5-92f2-d655cf4db904,0.987754225730896
Green,Flowermarketplace,Dendrobium,2177169,DENDROBIUM BURANA JADE,2025-05-03,2025-05-13,Dendrobium,Dendrobium Black Beauty,30.68,8f9a0e73-1a98-4ef5-b732-b2ec4900ae3a,1.0,,1,Bunch,30.68,c3be219f-4a7e-422d-b24a-c7561931e108,0.98746657371521
Pink,Flowermarketplace,Dendrobium,2177170,DENDROBIUM BUTTERFLY,2025-05-03,2025-05-13,Dendrobium,Dendrobium Big White ,31.46,8f9a0e73-1a98-4ef5-b732-b2ec4900ae3a,1.0,,1,Bunch,31.46,c069c20b-5828-47e5-92f2-d655cf4db904,0.9924077391624451
Pink,Flowermarketplace,Dendrobium,2177171,DENDROBIUM CHALERM PORN,2025-05-03,2025-05-13,Dendrobium,Dendrobium Black Beauty,29.64,8f9a0e73-1a98-4ef5-b732-b2ec4900ae3a,1.0,,1,Bunch,29.64,c3be219f-4a7e-422d-b24a-c7561931e108,0.9661859273910522
Red,Flowermarketplace,Dendrobium,2177172,DENDROBIUM CHARAK RED,2025-05-03,2025-05-13,Dendrobium,Dendrobium Chark Red (stem),29.64,8f9a0e73-1a98-4ef5-b732-b2ec4900ae3a,1.0,,1,Bunch,29.64,c069c20b-5828-47e5-92f2-d655cf4db904,0.9772482514381409
Purple,Flowermarketplace,Dendrobium,2177173,DENDROBIUM CHID CHOM,2025-05-03,2025-05-13,Dendrobium,Dendrobium Chid Chom (stem),30.68,8f9a0e73-1a98-4ef5-b732-b2ec4900ae3a,1.0,,1,Bunch,30.68,ce761477-0aa4-4e92-beb8-217dcc1ed111,0.9823094606399536
Pink,Flowermarketplace,Dendrobium,2177175,DENDROBIUM DAHILA PINK,2025-05-03,2025-05-13,Dendrobium,Dendrobium Double Lei White,30.68,8f9a0e73-1a98-4ef5-b732-b2ec4900ae3a,1.0,,1,Bunch,30.68,b14c633a-ea3f-47f5-b829-ce4baaab5d6a,0.9112769961357117
Green,Flowermarketplace,Dendrobium,2177174,DENDROBIUM DIANA GREEN,2025-05-03,2025-05-13,Dendrobium,Dendrobium Green,29.64,8f9a0e73-1a98-4ef5-b732-b2ec4900ae3a,1.0,,1,Bunch,29.64,10633535-fe12-4945-b403-38dfa654ff55,0.996248722076416
Pink,Flowermarketplace,Dendrobium,2177176,DENDROBIUM JINDA SWEET,2025-05-03,2025-05-13,Dendrobium,Dendrobium Jinda Sweet (stem),30.68,8f9a0e73-1a98-4ef5-b732-b2ec4900ae3a,1.0,,1,Bunch,30.68,c069c20b-5828-47e5-92f2-d655cf4db904,0.983645498752594
Purple,Flowermarketplace,Dendrobium,2177177,DENDROBIUM JUREE RED,2025-05-03,2025-05-13,Dendrobium,Dendrobium Green,29.38,8f9a0e73-1a98-4ef5-b732-b2ec4900ae3a,1.0,,1,Bunch,29.38,10633535-fe12-4945-b403-38dfa654ff55,0.995152473449707
Pink,Flowermarketplace,Dendrobium,2177178,DENDROBIUM KAMILA,2025-05-03,2025-05-13,Dendrobium,Dendrobium Green,31.46,8f9a0e73-1a98-4ef5-b732-b2ec4900ae3a,1.0,,1,Bunch,31.46,10633535-fe12-4945-b403-38dfa654ff55,0.9577381610870361
Pink,Flowermarketplace,Dendrobium,2177180,DENDROBIUM KATHY PINK,2025-05-03,2025-05-13,Dendrobium,Dendrobium Black Beauty,29.64,8f9a0e73-1a98-4ef5-b732-b2ec4900ae3a,1.0,,1,Bunch,29.64,c3be219f-4a7e-422d-b24a-c7561931e108,0.9957139492034912
Bicolor,Flowermarketplace,Dendrobium,2177179,DENDROBIUM KING DRAGON,2025-05-03,2025-05-13,Dendrobium,Dendrobium Black Beauty,31.46,8f9a0e73-1a98-4ef5-b732-b2ec4900ae3a,1.0,,1,Bunch,31.46,c3be219f-4a7e-422d-b24a-c7561931e108,0.9713608622550964
White,Flowermarketplace,Dendrobium,2177181,DENDROBIUM LERVIA,2025-05-03,2025-05-13,Dendrobium,Dendrobium Assorted,29.64,8f9a0e73-1a98-4ef5-b732-b2ec4900ae3a,1.0,,1,Bunch,29.64,2b6e68f2-1bd5-4816-bad1-fd4d44cec88d,0.900691568851471
Pink,Flowermarketplace,Dendrobium,2177183,DENDROBIUM LOVELY PINK,2025-05-03,2025-05-13,Dendrobium,Dendrobium Black Beauty,30.68,8f9a0e73-1a98-4ef5-b732-b2ec4900ae3a,1.0,,1,Bunch,30.68,c3be219f-4a7e-422d-b24a-c7561931e108,0.995425820350647
Pink,Flowermarketplace,Dendrobium,2177184,DENDROBIUM LUCY PINK,2025-05-03,2025-05-13,Dendrobium,Dendrobium Lucy Pink,29.9,8f9a0e73-1a98-4ef5-b732-b2ec4900ae3a,1.0,,1,Bunch,29.9,c069c20b-5828-47e5-92f2-d655cf4db904,0.9983397722244263
Pink,Flowermarketplace,Dendrobium,2177185,DENDROBIUM MADAM,2025-05-03,2025-05-13,Dendrobium,Dendrobium Black Beauty,30.68,8f9a0e73-1a98-4ef5-b732-b2ec4900ae3a,1.0,,1,Bunch,30.68,c3be219f-4a7e-422d-b24a-c7561931e108,0.9948462247848511
White,Flowermarketplace,Dendrobium,2177187,DENDROBIUM MALI WHITE,2025-05-03,2025-05-13,Dendrobium,Dendrobium Green,30.68,8f9a0e73-1a98-4ef5-b732-b2ec4900ae3a,1.0,,1,Bunch,30.68,10633535-fe12-4945-b403-38dfa654ff55,0.9951999187469482
Purple,Flowermarketplace,Dendrobium,2177188,DENDROBIUM MARY RED,2025-05-03,2025-05-13,Dendrobium,Dendrobium Black Beauty,29.9,8f9a0e73-1a98-4ef5-b732-b2ec4900ae3a,1.0,,1,Bunch,29.9,c3be219f-4a7e-422d-b24a-c7561931e108,0.9958578944206238
Red,Flowermarketplace,Dendrobium,2177197,DENDROBIUM METAS RED,2025-05-03,2025-05-13,Dendrobium,Dendrobium Green,30.68,8f9a0e73-1a98-4ef5-b732-b2ec4900ae3a,1.0,,1,Bunch,30.68,10633535-fe12-4945-b403-38dfa654ff55,0.9447116255760193
Bicolor,Flowermarketplace,Dendrobium,2177186,DENDROBIUM MICKY PINK,2025-05-03,2025-05-13,Dendrobium,Dendrobium Big White ,29.64,8f9a0e73-1a98-4ef5-b732-b2ec4900ae3a,1.0,,1,Bunch,29.64,c069c20b-5828-47e5-92f2-d655cf4db904,0.9878047704696655
