competitor,competitor_product_id,competitor_product_name,competitor_product_group_name,unit,stem_length,stems_per_unit,price_per_stem,matched_variety_name,variety_key,variety_score,matched_product_group_name,product_group_key,product_group_score,created_at,eta_date
Flowermarketplace,2274274,Accordion Palm Green/BX,accordion palm,Stems,150,150,2.44,,,,,,,2025-05-09,2025-05-10
Flowermarketplace,1896087,Achillea Red,Achillea,Bunch,,1,12.4,,,,,,,2025-05-09,2025-05-10
Flowermarketplace,2223870,Achillea SPX Orange,Achillea SPX,Bunch,,1,12.4,,,,,,,2025-05-09,2025-05-10
Flowermarketplace,1904551,Achillea White,Achillea (Yarrow),Bunch,,1,12.4,,,,,,,2025-05-09,2025-05-10
Flowermarketplace,2134958,African Boxwood Green 10 BU/BX,Greens,Bunch,60,1,12.78,African Boxwood,225abf81-381d-4705-aace-4d91ef744f27,0.9655581116676331,,,,2025-05-09,2025-05-10
Flowermarketplace,2130794,Agapanthus Blue,Agapanthus SPX,Stems,80,1,2.85,Blue Agapanthus,b7bfd76a-e2e2-4f50-a71d-d12d3bfd7e14,0.996675968170166,Agapanthus,3261737f-f6a8-415d-825e-431841e44ac7,0.9664510488510132,2025-05-09,2025-05-10
Flowermarketplace,2148831,Agonis Foliage,agonis foliage,Bunch,7075,1,23.33,,,,Agonis,ca52870f-816a-41fc-87d7-05df229d972d,0.8979331851005554,2025-05-09,2025-05-10
Flowermarketplace,2228335,ALLIUM GLADIATOR,Novelty,Stems,,1,2.53,Gladiator Allium,63e4e8d6-737c-4349-ac2a-272c8d04bbd0,0.9886514544487,,,,2025-05-09,2025-05-10
Flowermarketplace,2271632,Allium Purple Gladiator &#8211;/BX,Allium,Stems,70,80,3.89,Gladiator Allium,63e4e8d6-737c-4349-ac2a-272c8d04bbd0,0.9322416186332703,Allium,1e2ee4e0-904b-4068-87fd-c74123f53af1,1.000000238418579,2025-05-09,2025-05-10
Flowermarketplace,1857851,Alstro Assorted Fancy,Alstro,Bunch,,1,7.85,Cote D'Azur Alstroemeria,5acf2983-2637-4832-8328-705f1d4a29d4,0.9199545383453369,Alstroemeria,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,0.9142485857009888,2025-05-09,2025-05-10
Flowermarketplace,1858875,Alstro Assorted Select,Alstro,Bunch,,1,8.93,Cote D'Azur Alstroemeria,5acf2983-2637-4832-8328-705f1d4a29d4,0.9048640131950378,Alstroemeria,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,0.9142485857009888,2025-05-09,2025-05-10
Flowermarketplace,1858877,Alstro Assorted Super S.,Alstro,Bunch,,1,9.98,,,,Alstroemeria,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,0.9142485857009888,2025-05-09,2025-05-10
