competitor,competitor_product_id,competitor_product_name,competitor_product_group_name,unit,stem_length,stems_per_unit,price_per_stem,matched_variety_name,variety_key,variety_score,cleaned_name_used,matched_product_group_name,product_group_key,product_group_score,created_at,eta_date
Flowermarketplace,2160538,ACHILLEA,Achillea,Bunch,60,1,11.25,,,,achillea,,,,2025-05-26,2025-06-03
Flowermarketplace,2160540,ALSTROEMERIA ASSORTED,Alstroemerias,Bunch,,1,5.5,Mixed Assorted Alstroemeria,c93bbc06-a172-494d-b352-4ad50f082de1,0.997706413269043,alstroemeria assorted,Alstroemeria,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,1.0,2025-05-26,2025-06-03
Flowermarketplace,2160542,ALSTROEMERIA HOT PINK,Alstroemerias,Bunch,,1,9.15,Pink Alstroemeria,9081143f-3331-4d34-8d76-61811507cc71,0.9980831146240234,alstroemeria hot pink,Alstroemeria,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,1.0,2025-05-26,2025-06-03
Flowermarketplace,2160544,ALSTROEMERIA LAVENDER,Alstroemerias,Bunch,,1,9.15,Lavender Alstroemeria,766d1c52-bd9e-433d-8ad2-568178b0db70,0.999004602432251,alstroemeria lavender,Alstroemeria,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,1.0,2025-05-26,2025-06-03
Flowermarketplace,2160546,ALSTROEMERIA ORANGE QUEEN,Alstroemerias,Bunch,,1,9.15,Orange Alstroemeria,077cead9-23ad-4026-a9a8-98955982c9da,0.994418740272522,alstroemeria orange queen,Alstroemeria,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,1.0,2025-05-26,2025-06-03
Flowermarketplace,2160548,ALSTROEMERIA PRIMA DONNA,Alstroemerias,Bunch,,1,9.15,Red Alstroemeria,56cfbb87-dabe-4071-b3db-e2ac521a610f,0.9952459931373596,alstroemeria donna prima,Alstroemeria,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,1.0,2025-05-26,2025-06-03
Flowermarketplace,2160550,ALSTROEMERIA PURPLE,Alstroemerias,Bunch,,1,9.15,Purple Alstroemeria,1c8d54fb-3d5c-4a4d-a381-d617a69db23f,0.9987442493438721,alstroemeria purple,Alstroemeria,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,1.0,2025-05-26,2025-06-03
Flowermarketplace,2160552,ALSTROEMERIA RED,Alstroemerias,Bunch,,1,9.15,Red Alstroemeria,56cfbb87-dabe-4071-b3db-e2ac521a610f,0.9986550807952881,alstroemeria red,Alstroemeria,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,1.0,2025-05-26,2025-06-03
Flowermarketplace,2160554,ALSTROEMERIA WHITE,Alstroemerias,Bunch,,1,9.15,White Alstroemeria,92c8392a-1f77-4782-8a7c-4082f369cdcb,0.9948164224624634,alstroemeria white,Alstroemeria,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,1.0,2025-05-26,2025-06-03
Flowermarketplace,2160556,ALSTROEMERIA YELLOW,Alstroemerias,Bunch,,1,9.15,Yellow Alstroemeria,14ce1ae8-7875-4016-b334-81ae322fbe10,0.9971978664398193,alstroemeria yellow,Alstroemeria,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,1.0,2025-05-26,2025-06-03
Flowermarketplace,2160558,AMARANTHUS HANGING ASSORTED,Amaranthus,Stems,,1,3.45,Green Hanging Amaranthus,a035bd55-23af-4c21-83b0-baef07669984,0.9931045770645142,amaranthus assorted hanging,Amaranthus,83a8817f-88b8-45a9-bc11-f9e3868e1882,1.0,2025-05-26,2025-06-03
Flowermarketplace,2160560,AMARANTHUS HANGING GREEN,Amaranthus,Stems,,1,3.45,Green Hanging Amaranthus,a035bd55-23af-4c21-83b0-baef07669984,0.9947052001953125,amaranthus green hanging,Amaranthus,83a8817f-88b8-45a9-bc11-f9e3868e1882,1.0,2025-05-26,2025-06-03
Flowermarketplace,2160562,AMARANTHUS HANGING RED,Amaranthus,Stems,,1,3.45,Green Hanging Amaranthus,a035bd55-23af-4c21-83b0-baef07669984,0.9944771528244019,amaranthus hanging red,Amaranthus,83a8817f-88b8-45a9-bc11-f9e3868e1882,1.0,2025-05-26,2025-06-03
Flowermarketplace,2160564,ANEMONE ASSORTED,Anemone,Bunch,,1,18.98,Mixed Full Star Seasonal Colors Assorted Anemone,a89b5788-7c72-403d-ac66-a3a3a42fd022,0.9921438694000244,anemone assorted,Anemone,0b6221f4-9306-4e15-9949-d403524c3a7d,1.0,2025-05-26,2025-06-03
Flowermarketplace,2160566,ANEMONE BLUSH,Anemone,Bunch,,1,24.48,Mixed Full Star Seasonal Colors Assorted Anemone,a89b5788-7c72-403d-ac66-a3a3a42fd022,0.9889931678771973,anemone blush,Anemone,0b6221f4-9306-4e15-9949-d403524c3a7d,1.0,2025-05-26,2025-06-03
Flowermarketplace,2236674,ANEMONE BURGUNDY,Anemone,Bunch,,1,25.0,Red Carmel Bordeaux Anemone,d8cac642-31bf-471a-9a30-606ae974fe0a,0.9901509881019592,anemone burgundy,Anemone,0b6221f4-9306-4e15-9949-d403524c3a7d,1.0,2025-05-26,2025-06-03
Flowermarketplace,2160568,ANEMONE HOT PINK,Anemone,Bunch,,1,24.48,White Bicolor -Blush Shade Anemone,a99f8cb1-25b5-4568-af1c-7b3dcd9c2dde,0.9909042716026306,anemone hot pink,Anemone,0b6221f4-9306-4e15-9949-d403524c3a7d,1.0,2025-05-26,2025-06-03
Flowermarketplace,2236623,ANEMONE LEVANTE BLUE,Anemone,Bunch,,1,25.0,White Bicolor -Blush Shade Anemone,a99f8cb1-25b5-4568-af1c-7b3dcd9c2dde,0.981743574142456,anemone blue levante,Anemone,0b6221f4-9306-4e15-9949-d403524c3a7d,1.0,2025-05-26,2025-06-03
Flowermarketplace,2236627,ANEMONE LEVANTE HOT PINK,Anemone,Bunch,,1,25.0,White Bicolor -Blush Shade Anemone,a99f8cb1-25b5-4568-af1c-7b3dcd9c2dde,0.9893786311149597,anemone hot levante pink,Anemone,0b6221f4-9306-4e15-9949-d403524c3a7d,1.0,2025-05-26,2025-06-03
Flowermarketplace,2236625,ANEMONE LEVANTE PINK,Anemone,Bunch,,1,25.0,White Bicolor -Blush Shade Anemone,a99f8cb1-25b5-4568-af1c-7b3dcd9c2dde,0.9895161390304565,anemone levante pink,Anemone,0b6221f4-9306-4e15-9949-d403524c3a7d,1.0,2025-05-26,2025-06-03
Flowermarketplace,2236626,ANEMONE LEVANTE RED,Anemone,Bunch,,1,25.0,Red Carmel Bordeaux Anemone,d8cac642-31bf-471a-9a30-606ae974fe0a,0.9838011264801025,anemone levante red,Anemone,0b6221f4-9306-4e15-9949-d403524c3a7d,1.0,2025-05-26,2025-06-03
Flowermarketplace,2236624,ANEMONE LEVANTE WHITE,Anemone,Bunch,,1,25.0,White Bicolor -Blush Shade Anemone,a99f8cb1-25b5-4568-af1c-7b3dcd9c2dde,0.9899264574050903,anemone levante white,Anemone,0b6221f4-9306-4e15-9949-d403524c3a7d,1.0,2025-05-26,2025-06-03
Flowermarketplace,2160570,ANEMONE MARIANNE PANDA,Anemone,Bunch,,1,24.48,Blush Marianne Panda Anemone,10f4a9a5-4b05-47b1-8c32-0ee8a250f3b9,0.9896512031555176,anemone marianne panda,Anemone,0b6221f4-9306-4e15-9949-d403524c3a7d,1.0,2025-05-26,2025-06-03
Flowermarketplace,2160572,ANEMONE NOVELTY PURPLE,Anemone,Bunch,,1,24.48,White Bicolor -Blush Shade Anemone,a99f8cb1-25b5-4568-af1c-7b3dcd9c2dde,0.99010169506073,anemone novelty purple,Anemone,0b6221f4-9306-4e15-9949-d403524c3a7d,1.0,2025-05-26,2025-06-03
Flowermarketplace,2160574,ANEMONE RED,Anemone,Bunch,,1,24.48,White Bicolor -Blush Shade Anemone,a99f8cb1-25b5-4568-af1c-7b3dcd9c2dde,0.9909892678260803,anemone red,Anemone,0b6221f4-9306-4e15-9949-d403524c3a7d,1.0,2025-05-26,2025-06-03
Flowermarketplace,2160576,ANEMONE WINE RED,Anemone,Bunch,,1,24.48,Red Carmel Bordeaux Anemone,d8cac642-31bf-471a-9a30-606ae974fe0a,0.9910427331924438,anemone red wine,Anemone,0b6221f4-9306-4e15-9949-d403524c3a7d,1.0,2025-05-26,2025-06-03
Flowermarketplace,2162219,ARALIA EX,Greens,Stems,,1,1.11,,,,aralia ex,,,,2025-05-26,2025-06-03
Flowermarketplace,2162220,ARALIA I,Greens,Stems,,1,0.8,,,,aralia i,,,,2025-05-26,2025-06-03
Flowermarketplace,2162221,ARALIA II,Greens,Stems,,1,0.6,,,,aralia ii,,,,2025-05-26,2025-06-03
Flowermarketplace,2162222,ARALIA III,Greens,Stems,,1,0.57,,,,aralia iii,,,,2025-05-26,2025-06-03
Flowermarketplace,2162223,ARALIA IV,Greens,Stems,,1,0.49,,,,aralia iv,,,,2025-05-26,2025-06-03
Flowermarketplace,2162218,ARALIA SUPER,Greens,Stems,,1,1.23,,,,aralia super,,,,2025-05-26,2025-06-03
Flowermarketplace,2177154,ARANTHERA ANNE BLACK,ARANTHERA,Bunch,,1,30.16,,,,anne aranthera black,Aranthera,61642357-229e-4cf7-b197-cf52e4978299,1.0,2025-05-26,2025-06-03
Flowermarketplace,2177155,ARANTHERA AZIMAH,ARANTHERA,Bunch,,1,36.66,,,,aranthera azimah,Aranthera,61642357-229e-4cf7-b197-cf52e4978299,1.0,2025-05-26,2025-06-03
Flowermarketplace,2177156,ARANTHERA JAME RED,ARANTHERA,Bunch,,1,30.16,,,,aranthera jame red,Aranthera,61642357-229e-4cf7-b197-cf52e4978299,1.0,2025-05-26,2025-06-03
