competitor,competitor_product_id,competitor_product_name,competitor_product_group_name,unit,stem_length,stems_per_unit,stem_price,created_at,eta_date
FlowerMarketplace,2160538,ACHILLEA,Achillea,Bunch,60,1,9.57,2025-06-02,2025-06-10
FlowerMarketplace,2276832,AGAPANTHUS EYFORI BLUE,Agapanthus,Stems,70,1,6.53,2025-06-02,2025-06-10
FlowerMarketplace,2276833,AGAPANTHUS EYFORI BLUE,Agapanthus,Stems,70,1,5.68,2025-06-02,2025-06-10
FlowerMarketplace,2276834,AGAPANTHUS GLETSJER,Agapanthus,Stems,70,1,2.9,2025-06-02,2025-06-10
FlowerMarketplace,2276836,AGAPANTHUS GLETSJER,Agapanthus,Stems,70,1,2.53,2025-06-02,2025-06-10
FlowerMarketplace,2276838,AGAPANTHUS INTERMEDIA,Agapanthus,Stems,70,1,2.65,2025-06-02,2025-06-10
FlowerMarketplace,2276840,AGAPANTHUS INTERMEDIA,Agapanthus,Stems,70,1,2.3,2025-06-02,2025-06-10
FlowerMarketplace,2276842,ALLIUM BULLIT PURPLE,Allium,Stems,70,1,1.35,2025-06-02,2025-06-10
FlowerMarketplace,2276844,ALLIUM BULLIT PURPLE,Allium,Stems,70,1,1.18,2025-06-02,2025-06-10
FlowerMarketplace,2276846,ALLIUM BULLIT PURPLE,Allium,Stems,80,1,1.75,2025-06-02,2025-06-10
FlowerMarketplace,2276848,ALLIUM BULLIT PURPLE,Allium,Stems,80,1,1.53,2025-06-02,2025-06-10
FlowerMarketplace,2276850,ALLIUM BULLIT PURPLE,Allium,Stems,90,1,3.4,2025-06-02,2025-06-10
FlowerMarketplace,2276852,ALLIUM BULLIT PURPLE,Allium,Stems,90,1,2.95,2025-06-02,2025-06-10
FlowerMarketplace,2276854,ALLIUM GLADIATOR,Allium,Stems,80,1,3.25,2025-06-02,2025-06-10
FlowerMarketplace,2276856,ALLIUM GLOBEMASTER,Allium,Stems,80,1,9.35,2025-06-02,2025-06-10
FlowerMarketplace,2276858,ALLIUM GLOBEMASTER,Allium,Stems,80,1,8.13,2025-06-02,2025-06-10
FlowerMarketplace,2276860,ALLIUM GLOBEMASTER,Allium,Stems,80,1,8.98,2025-06-02,2025-06-10
FlowerMarketplace,2276862,ALLIUM GLOBEMASTER,Allium,Stems,80,1,7.8,2025-06-02,2025-06-10
FlowerMarketplace,2276864,ALLIUM HANG SICULUM BULGAR,Allium,Stems,65,1,3.3,2025-06-02,2025-06-10
FlowerMarketplace,2276866,ALLIUM HANG SICULUM BULGAR,Allium,Stems,70,1,4.43,2025-06-02,2025-06-10
FlowerMarketplace,2276868,ALLIUM HANG SICULUM BULGAR,Allium,Stems,70,1,3.85,2025-06-02,2025-06-10
FlowerMarketplace,2276870,ALLIUM HANG SICULUM BULGAR,Allium,Stems,90,1,6.28,2025-06-02,2025-06-10
FlowerMarketplace,2276872,ALLIUM HANG SICULUM BULGAR,Allium,Stems,90,1,5.45,2025-06-02,2025-06-10
FlowerMarketplace,2276874,ALLIUM HANG SICULUM SWEETY,Allium,Stems,75,1,12.05,2025-06-02,2025-06-10
