competitor,competitor_product_id,competitor_product_name,competitor_product_group_name,competitor_product_group_id,color,stem_length,stems_per_unit,unit_price,price_per_stem,base_price,freight_price,margin,available_units,grower_name,grower_country,product_url,image_url,matched_variety_name,variety_key,variety_score,matched_product_group_name,product_group_key,product_group_score,created_at,eta_date
Mayesh,8448957,Achillea Ptarmica Pearl White,Achillea Ptarmica,1181,White,,100,172.0,1.72,0.76,0.51,37.5,,Rosaspe - Much Flowers,Ecuador,https://www.mayesh.com/achillea-ptarmica-pearl-white,https://www.mayesh.com/backend/files/flowers/achillea_ptarmica_pearl_1.jpg,,,,,,,2025-05-12T07:44:58.989665,2025-05-20
Mayesh,490587,Agapanthus Blue,Agapanthus,479,Blue,,70,135.1,1.93,0.83,0.6,37.5,9,Damagro Farms,Ecuador,https://www.mayesh.com/agapanthus-blue,https://www.mayesh.com/backend/files/flowers/agapanthus-blue.jpg,,,,Agapanthus,3261737f-f6a8-415d-825e-431841e44ac7,1.0,2025-05-12T07:44:59.070048,2025-05-20
Mayesh,483746,Alstroemeria Assorted Fancy,Alstroemeria,490,Assorted,,150,108.0,0.72,0.27,0.29,37.5,18,C.I. Flores De Funza,Colombia,https://www.mayesh.com/alstroemeria-assorted-fancy,https://www.mayesh.com/backend/files/flowers/alstroemeria-assorted.jpg,,,,Alstroemeria,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,1.0000001192092896,2025-05-12T07:44:59.151711,2025-05-20
Mayesh,483748,Alstroemeria Assorted Select,Alstroemeria,490,Assorted,,150,117.0,0.78,0.31,0.29,37.5,18,C.I. Flores De Funza,Colombia,https://www.mayesh.com/alstroemeria-assorted-select,https://www.mayesh.com/backend/files/flowers/alstroemeria-assorted.jpg,,,,Alstroemeria,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,1.0000001192092896,2025-05-12T07:44:59.200230,2025-05-20
Mayesh,490071,Alstroemeria Assorted Super Select,Alstroemeria,490,Assorted,,120,114.0,0.95,0.37,0.36,37.5,20,C.I. Flores De Funza,Colombia,https://www.mayesh.com/alstroemeria-assorted-super-select,https://www.mayesh.com/backend/files/flowers/alstroemeria-assorted.jpg,,,,Alstroemeria,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,1.0000001192092896,2025-05-12T07:44:59.249250,2025-05-20
Mayesh,941009,Alstroemeria Dirty Dancing Cream Fancy,Alstroemeria,490,Cream,,150,124.5,0.83,0.31,0.34,37.5,7,,Colombia,https://www.mayesh.com/alstroemeria-dirty-dancing-cream-fancy,https://www.mayesh.com/backend/files/flowers/alstroemeria-dirty-dancing-cream.jpg,,,,Alstroemeria,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,1.0000001192092896,2025-05-12T07:44:59.301208,2025-05-20
Mayesh,941010,Alstroemeria Dirty Dancing Cream Select,Alstroemeria,490,Cream,,150,135.0,0.9,0.35,0.34,37.5,10,,Colombia,https://www.mayesh.com/alstroemeria-dirty-dancing-cream-select,https://www.mayesh.com/backend/files/flowers/alstroemeria-dirty-dancing-cream.jpg,,,,Alstroemeria,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,1.0000001192092896,2025-05-12T07:44:59.353397,2025-05-20
Mayesh,941011,Alstroemeria Dirty Dancing Cream Super Select,Alstroemeria,490,Cream,,120,130.8,1.09,0.42,0.42,37.5,5,,Colombia,https://www.mayesh.com/alstroemeria-dirty-dancing-cream-super-select,https://www.mayesh.com/backend/files/flowers/alstroemeria-dirty-dancing-cream.jpg,,,,Alstroemeria,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,1.0000001192092896,2025-05-12T07:44:59.430830,2025-05-20
Mayesh,1032020,Alstroemeria Dubai Light Pink Fancy,Alstroemeria,490,Light Pink,,150,115.5,0.77,0.27,0.34,37.5,15,,Colombia,https://www.mayesh.com/alstroemeria-dubai-light-pink-fancy,https://www.mayesh.com/backend/files/flowers/alstroemeria-dubai-light-pink.jpg,,,,Alstroemeria,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,1.0000001192092896,2025-05-12T07:44:59.483287,2025-05-20
Mayesh,1032021,Alstroemeria Dubai Light Pink Select,Alstroemeria,490,Light Pink,,150,120.0,0.8,0.29,0.34,37.5,20,,Colombia,https://www.mayesh.com/alstroemeria-dubai-light-pink-select,https://www.mayesh.com/backend/files/flowers/alstroemeria-dubai-light-pink.jpg,,,,Alstroemeria,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,1.0000001192092896,2025-05-12T07:44:59.535443,2025-05-20
Mayesh,940749,Alstroemeria Fifi Light Pink Fancy,Alstroemeria,490,Light Pink,,150,124.5,0.83,0.31,0.34,37.5,18,,Colombia,https://www.mayesh.com/alstroemeria-fifi-light-pink-fancy,https://www.mayesh.com/backend/files/flowers/alstro_fifi.jpg,,,,Alstroemeria,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,1.0000001192092896,2025-05-12T07:44:59.580640,2025-05-20
Mayesh,940750,Alstroemeria Fifi Light Pink Select,Alstroemeria,490,Light Pink,,150,135.0,0.9,0.35,0.34,37.5,19,,Colombia,https://www.mayesh.com/alstroemeria-fifi-light-pink-select,https://www.mayesh.com/backend/files/flowers/alstro_fifi.jpg,,,,Alstroemeria,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,1.0000001192092896,2025-05-12T07:44:59.626307,2025-05-20
Mayesh,940751,Alstroemeria Fifi Light Pink Super Select,Alstroemeria,490,Light Pink,,120,130.8,1.09,0.42,0.42,37.5,20,,Colombia,https://www.mayesh.com/alstroemeria-fifi-light-pink-super-select,https://www.mayesh.com/backend/files/flowers/alstro_fifi.jpg,,,,Alstroemeria,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,1.0000001192092896,2025-05-12T07:44:59.702279,2025-05-20
Mayesh,1050611,Alstroemeria Galaxy Lavender Fancy,Alstroemeria,490,Lavender,,150,115.5,0.77,0.27,0.34,37.5,15,,Colombia,https://www.mayesh.com/alstroemeria-galaxy-lavender-fancy,https://www.mayesh.com/backend/files/flowers/alstroemeria-galaxy-lavender.jpg,,,,Alstroemeria,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,1.0000001192092896,2025-05-12T07:44:59.751442,2025-05-20
