competitor,competitor_product_id,competitor_product_name,competitor_product_group_name,competitor_product_group_id,color,stem_length,stems_per_unit,unit_price,price_per_stem,base_price,freight_price,margin,available_units,grower_name,grower_country,product_url,image_url,matched_variety_name,variety_key,variety_score,cleaned_name_used,matched_product_group_name,product_group_key,product_group_score,created_at,eta_date
Mayesh,8448957,Achillea Ptarmica Pearl White,Achillea Ptarmica,1181,White,,100,172.0,1.72,0.76,0.51,37.5,4,Rosaspe - Much Flowers,Ecuador,https://www.mayesh.com/achillea-ptarmica-pearl-white,https://www.mayesh.com/backend/files/flowers/achillea_ptarmica_pearl_1.jpg,,,,achillea pearl ptarmica white,,,,2025-05-14T12:39:04.638442,2025-05-23
Mayesh,490587,Agapanthus Blue,Agapanthus,479,Blue,,70,135.1,1.93,0.83,0.6,37.5,9,Damagro Farms,Ecuador,https://www.mayesh.com/agapanthus-blue,https://www.mayesh.com/backend/files/flowers/agapanthus-blue.jpg,Blue Agapanthus blue,b7bfd76a-e2e2-4f50-a71d-d12d3bfd7e14,0.9977017641067505,agapanthus blue,Agapanthus,3261737f-f6a8-415d-825e-431841e44ac7,1.0000001192092896,2025-05-14T12:39:04.818684,2025-05-23
Mayesh,483746,Alstroemeria Assorted Fancy,Alstroemeria,490,Assorted,,150,108.0,0.72,0.27,0.29,37.5,16,C.I. Flores De Funza,Colombia,https://www.mayesh.com/alstroemeria-assorted-fancy,https://www.mayesh.com/backend/files/flowers/alstroemeria-assorted.jpg,Assorted Alstroemeria mixed,c93bbc06-a172-494d-b352-4ad50f082de1,0.9970195889472961,alstroemeria assorted fancy,Alstroemeria,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,1.0,2025-05-14T12:39:04.939236,2025-05-23
Mayesh,483748,Alstroemeria Assorted Select,Alstroemeria,490,Assorted,,150,117.0,0.78,0.31,0.29,37.5,18,C.I. Flores De Funza,Colombia,https://www.mayesh.com/alstroemeria-assorted-select,https://www.mayesh.com/backend/files/flowers/alstroemeria-assorted.jpg,Assorted Select  Alstroemeria mixed,b50a3557-b17f-44af-a7ca-07c86bf9a171,0.99762362241745,alstroemeria assorted select,Alstroemeria,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,1.0,2025-05-14T12:39:05.008040,2025-05-23
Mayesh,490071,Alstroemeria Assorted Super Select,Alstroemeria,490,Assorted,,120,114.0,0.95,0.37,0.36,37.5,20,C.I. Flores De Funza,Colombia,https://www.mayesh.com/alstroemeria-assorted-super-select,https://www.mayesh.com/backend/files/flowers/alstroemeria-assorted.jpg,Super Select Assorted Alstroemeria mixed,c3762beb-ea44-48d4-be71-6e6197509c08,0.9966249465942383,alstroemeria assorted select super,Alstroemeria,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,1.0,2025-05-14T12:39:05.060383,2025-05-23
Mayesh,941009,Alstroemeria Dirty Dancing Cream Fancy,Alstroemeria,490,Cream,,150,124.5,0.83,0.31,0.34,37.5,1,,Colombia,https://www.mayesh.com/alstroemeria-dirty-dancing-cream-fancy,https://www.mayesh.com/backend/files/flowers/alstroemeria-dirty-dancing-cream.jpg,Super Select Assorted Alstroemeria mixed,c3762beb-ea44-48d4-be71-6e6197509c08,0.9955153465270996,alstroemeria cream dancing dirty fancy,Alstroemeria,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,1.0,2025-05-14T12:39:05.109707,2025-05-23
Mayesh,941010,Alstroemeria Dirty Dancing Cream Select,Alstroemeria,490,Cream,,150,135.0,0.9,0.35,0.34,37.5,9,,Colombia,https://www.mayesh.com/alstroemeria-dirty-dancing-cream-select,https://www.mayesh.com/backend/files/flowers/alstroemeria-dirty-dancing-cream.jpg,Super Select Assorted Alstroemeria mixed,c3762beb-ea44-48d4-be71-6e6197509c08,0.996495246887207,alstroemeria cream dancing dirty select,Alstroemeria,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,1.0,2025-05-14T12:39:05.156174,2025-05-23
Mayesh,941011,Alstroemeria Dirty Dancing Cream Super Select,Alstroemeria,490,Cream,,120,130.8,1.09,0.42,0.42,37.5,4,,Colombia,https://www.mayesh.com/alstroemeria-dirty-dancing-cream-super-select,https://www.mayesh.com/backend/files/flowers/alstroemeria-dirty-dancing-cream.jpg,Super Select Assorted Alstroemeria mixed,c3762beb-ea44-48d4-be71-6e6197509c08,0.9956324100494385,alstroemeria cream dancing dirty select super,Alstroemeria,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,1.0,2025-05-14T12:39:05.241982,2025-05-23
Mayesh,1032020,Alstroemeria Dubai Light Pink Fancy,Alstroemeria,490,Light Pink,,150,115.5,0.77,0.27,0.34,37.5,16,,Colombia,https://www.mayesh.com/alstroemeria-dubai-light-pink-fancy,https://www.mayesh.com/backend/files/flowers/alstroemeria-dubai-light-pink.jpg,Dubai Alstroemeria pink - light,bda391f1-d884-4a0f-8c77-fb4d324658aa,0.9971974492073059,alstroemeria dubai fancy light pink,Alstroemeria,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,1.0,2025-05-14T12:39:05.288839,2025-05-23
Mayesh,1032021,Alstroemeria Dubai Light Pink Select,Alstroemeria,490,Light Pink,,150,120.0,0.8,0.29,0.34,37.5,20,,Colombia,https://www.mayesh.com/alstroemeria-dubai-light-pink-select,https://www.mayesh.com/backend/files/flowers/alstroemeria-dubai-light-pink.jpg,Dubai Alstroemeria pink - light,bda391f1-d884-4a0f-8c77-fb4d324658aa,0.9971102476119995,alstroemeria dubai light pink select,Alstroemeria,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,1.0,2025-05-14T12:39:05.335087,2025-05-23
