competitor,competitor_product_id,competitor_product_name,competitor_product_group_name,competitor_product_group_id,color,stem_length,stems_per_unit,unit_price,price_per_stem,base_price,freight_price,margin,available_units,grower_name,grower_country,highlight_name,image_url,matched_variety_name,variety_key,variety_score,cleaned_name_used,matched_product_group_name,product_group_key,product_group_score,created_at,eta_date
Mayesh,8448957,Achillea Ptarmica Pearl White,Achillea Ptarmica,1181,White,,100,172.0,1.72,0.76,0.51,37.5,4,Rosaspe - Much Flowers,Ecuador,,https://www.mayesh.com/backend/files/flowers/achillea_ptarmica_pearl_1.jpg,,,,achillea pearl ptarmica white,Ptilotus,e313badc-2c6e-4b1f-a1e8-ebbe20bd43c0,0.8490813970565796,2025-05-19T11:34:31.114752,2025-05-28
Mayesh,490587,Agapanthus Blue,Agapanthus,479,Blue,,70,135.1,1.93,0.83,0.6,37.5,9,Damagro Farms,Ecuador,,https://www.mayesh.com/backend/files/flowers/agapanthus-blue.jpg,Blue Agapanthus blue,b7bfd76a-e2e2-4f50-a71d-d12d3bfd7e14,0.9921197891235352,agapanthus blue,Agapanthus,3261737f-f6a8-415d-825e-431841e44ac7,1.0,2025-05-19T11:34:31.231872,2025-05-28
Mayesh,483746,Alstroemeria Assorted Fancy,Alstroemeria,490,Assorted,,150,108.0,0.72,0.27,0.29,37.5,17,C.I. Flores De Funza,Colombia,,https://www.mayesh.com/backend/files/flowers/alstroemeria-assorted.jpg,Perfection Assorted Alstroemeria mixed,423cce21-a692-465e-a6e1-5ed732699172,0.9614034295082092,alstroemeria assorted fancy,Alstroemeria,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,1.0,2025-05-19T11:34:31.315910,2025-05-28
Mayesh,483748,Alstroemeria Assorted Select,Alstroemeria,490,Assorted,,150,117.0,0.78,0.31,0.29,37.5,18,C.I. Flores De Funza,Colombia,,https://www.mayesh.com/backend/files/flowers/alstroemeria-assorted.jpg,Assorted Select  Alstroemeria mixed,b50a3557-b17f-44af-a7ca-07c86bf9a171,0.9638573527336121,alstroemeria assorted select,Alstroemeria,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,1.0,2025-05-19T11:34:31.371073,2025-05-28
Mayesh,490071,Alstroemeria Assorted Super Select,Alstroemeria,490,Assorted,,120,114.0,0.95,0.37,0.36,37.5,20,C.I. Flores De Funza,Colombia,,https://www.mayesh.com/backend/files/flowers/alstroemeria-assorted.jpg,Super Select Assorted Alstroemeria mixed,c3762beb-ea44-48d4-be71-6e6197509c08,0.9523143768310547,alstroemeria assorted select super,Alstroemeria,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,1.0,2025-05-19T11:34:31.416713,2025-05-28
Mayesh,941009,Alstroemeria Dirty Dancing Cream Fancy,Alstroemeria,490,Cream,,150,124.5,0.83,0.31,0.34,37.5,8,,Colombia,,https://www.mayesh.com/backend/files/flowers/alstroemeria-dirty-dancing-cream.jpg,Cream Alstroemeria cream,a8ba5d93-e046-4442-98fa-23bdb0f3462b,0.9419410228729248,alstroemeria cream dancing dirty fancy,Alstroemeria,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,1.0,2025-05-19T11:34:31.461943,2025-05-28
Mayesh,941010,Alstroemeria Dirty Dancing Cream Select,Alstroemeria,490,Cream,,150,135.0,0.9,0.35,0.34,37.5,10,,Colombia,,https://www.mayesh.com/backend/files/flowers/alstroemeria-dirty-dancing-cream.jpg,,,,alstroemeria cream dancing dirty select,Alstroemeria,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,1.0,2025-05-19T11:34:31.507195,2025-05-28
Mayesh,941011,Alstroemeria Dirty Dancing Cream Super Select,Alstroemeria,490,Cream,,120,130.8,1.09,0.42,0.42,37.5,5,,Colombia,,https://www.mayesh.com/backend/files/flowers/alstroemeria-dirty-dancing-cream.jpg,,,,alstroemeria cream dancing dirty select super,Alstroemeria,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,1.0,2025-05-19T11:34:31.581591,2025-05-28
Mayesh,1032020,Alstroemeria Dubai Light Pink Fancy,Alstroemeria,490,Light Pink,,150,115.5,0.77,0.27,0.34,37.5,16,,Colombia,,https://www.mayesh.com/backend/files/flowers/alstroemeria-dubai-light-pink.jpg,Dubai Alstroemeria pink - light,bda391f1-d884-4a0f-8c77-fb4d324658aa,0.9665435552597046,alstroemeria dubai fancy light pink,Alstroemeria,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,1.0,2025-05-19T11:34:31.627089,2025-05-28
Mayesh,1032021,Alstroemeria Dubai Light Pink Select,Alstroemeria,490,Light Pink,,150,120.0,0.8,0.29,0.34,37.5,20,,Colombia,,https://www.mayesh.com/backend/files/flowers/alstroemeria-dubai-light-pink.jpg,Dubai Alstroemeria pink - light,bda391f1-d884-4a0f-8c77-fb4d324658aa,0.9802347421646118,alstroemeria dubai light pink select,Alstroemeria,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,1.0,2025-05-19T11:34:31.672443,2025-05-28
