competitor,competitor_product_id,competitor_product_name,competitor_product_group_name,competitor_product_group_id,state,color,stem_length,stems_per_unit,unit_price,stem_price,base_price,freight_price,margin,available_units,grower_name,grower_country,highlight_name,cleaned_name_used,product_group_key,created_at,eta_date
Mayesh,8448957,Achillea Ptarmica Pearl White,Achillea Ptarmica,1181,Kentucky,White,,100,172.0,1.72,0.76,0.51,37.5,1,Rosaspe - Much Flowers,Ecuador,,Achillea Ptarmica Pearl White,1181,2025-06-02,2025-06-10
Mayesh,490587,Agapanthus Blue,Agapanthus,479,Kentucky,Blue,,70,135.1,1.93,0.83,0.6,37.5,7,Damagro Farms,Ecuador,,Agapanthus Blue,479,2025-06-02,2025-06-10
Mayesh,483746,Alstroemeria Assorted Fancy,Alstroemeria,490,Kentucky,Assorted,,150,108.0,0.72,0.27,0.29,37.5,18,C.I. Flores De Funza,Colombia,,Alstroemeria Assorted Fancy,490,2025-06-02,2025-06-10
Mayesh,483748,Alstroemeria Assorted Select,Alstroemeria,490,Kentucky,Assorted,,150,117.0,0.78,0.31,0.29,37.5,18,C.I. Flores De Funza,Colombia,,Alstroemeria Assorted Select,490,2025-06-02,2025-06-10
Mayesh,490071,Alstroemeria Assorted Super Select,Alstroemeria,490,Kentucky,Assorted,,120,114.0,0.95,0.37,0.36,37.5,20,C.I. Flores De Funza,Colombia,,Alstroemeria Assorted Super Select,490,2025-06-02,2025-06-10
Mayesh,941009,Alstroemeria Dirty Dancing Cream Fancy,Alstroemeria,490,Kentucky,Cream,,150,124.5,0.83,0.31,0.34,37.5,5,,Colombia,,Alstroemeria Dirty Dancing Cream Fancy,490,2025-06-02,2025-06-10
Mayesh,941010,Alstroemeria Dirty Dancing Cream Select,Alstroemeria,490,Kentucky,Cream,,150,135.0,0.9,0.35,0.34,37.5,6,,Colombia,,Alstroemeria Dirty Dancing Cream Select,490,2025-06-02,2025-06-10
Mayesh,941011,Alstroemeria Dirty Dancing Cream Super Select,Alstroemeria,490,Kentucky,Cream,,120,130.8,1.09,0.42,0.42,37.5,4,,Colombia,,Alstroemeria Dirty Dancing Cream Super Select,490,2025-06-02,2025-06-10
Mayesh,1032020,Alstroemeria Dubai Light Pink Fancy,Alstroemeria,490,Kentucky,Light Pink,,150,115.5,0.77,0.27,0.34,37.5,8,,Colombia,,Alstroemeria Dubai Light Pink Fancy,490,2025-06-02,2025-06-10
Mayesh,1032021,Alstroemeria Dubai Light Pink Select,Alstroemeria,490,Kentucky,Light Pink,,150,120.0,0.8,0.29,0.34,37.5,8,,Colombia,,Alstroemeria Dubai Light Pink Select,490,2025-06-02,2025-06-10
Mayesh,940749,Alstroemeria Fifi Light Pink Fancy,Alstroemeria,490,Kentucky,Light Pink,,150,124.5,0.83,0.31,0.34,37.5,7,,Colombia,,Alstroemeria Fifi Light Pink Fancy,490,2025-06-02,2025-06-10
Mayesh,940750,Alstroemeria Fifi Light Pink Select,Alstroemeria,490,Kentucky,Light Pink,,150,135.0,0.9,0.35,0.34,37.5,8,,Colombia,,Alstroemeria Fifi Light Pink Select,490,2025-06-02,2025-06-10
Mayesh,940751,Alstroemeria Fifi Light Pink Super Select,Alstroemeria,490,Kentucky,Light Pink,,120,130.8,1.09,0.42,0.42,37.5,8,,Colombia,,Alstroemeria Fifi Light Pink Super Select,490,2025-06-02,2025-06-10
Mayesh,1050611,Alstroemeria Galaxy Lavender Fancy,Alstroemeria,490,Kentucky,Lavender,,150,115.5,0.77,0.27,0.34,37.5,8,,Colombia,,Alstroemeria Galaxy Lavender Fancy,490,2025-06-02,2025-06-10
Mayesh,1050612,Alstroemeria Galaxy Lavender Select,Alstroemeria,490,Kentucky,Lavender,,150,120.0,0.8,0.29,0.34,37.5,8,,Colombia,,Alstroemeria Galaxy Lavender Select,490,2025-06-02,2025-06-10
Mayesh,1050613,Alstroemeria Galaxy Lavender Super Select,Alstroemeria,490,Kentucky,Lavender,,120,114.0,0.95,0.33,0.42,37.5,8,,Colombia,,Alstroemeria Galaxy Lavender Super Select,490,2025-06-02,2025-06-10
Mayesh,14631876,Alstroemeria Green Planet Green Select,Alstroemeria,490,Kentucky,Green,,100,80.0,0.8,0.34,0.25,37.5,1,Flores Del Valle,Ecuador,,Alstroemeria Green Planet Green Select,490,2025-06-02,2025-06-10
Mayesh,483770,Alstroemeria Hot Pink Fancy,Alstroemeria,490,Kentucky,Hot Pink,,150,108.0,0.72,0.27,0.29,37.5,20,C.I. Flores De Funza,Colombia,,Alstroemeria Hot Pink Fancy,490,2025-06-02,2025-06-10
Mayesh,483772,Alstroemeria Hot Pink Select,Alstroemeria,490,Kentucky,Hot Pink,,150,117.0,0.78,0.31,0.29,37.5,20,C.I. Flores De Funza,Colombia,,Alstroemeria Hot Pink Select,490,2025-06-02,2025-06-10
Mayesh,483771,Alstroemeria Hot Pink Super Select,Alstroemeria,490,Kentucky,Hot Pink,,120,114.0,0.95,0.37,0.36,37.5,20,C.I. Flores De Funza,Colombia,,Alstroemeria Hot Pink Super Select,490,2025-06-02,2025-06-10
Mayesh,483774,Alstroemeria Lavender Fancy,Alstroemeria,490,Kentucky,Lavender,,150,108.0,0.72,0.27,0.29,37.5,10,C.I. Flores De Funza,Colombia,,Alstroemeria Lavender Fancy,490,2025-06-02,2025-06-10
Mayesh,483776,Alstroemeria Lavender Select,Alstroemeria,490,Kentucky,Lavender,,150,117.0,0.78,0.31,0.29,37.5,8,C.I. Flores De Funza,Colombia,,Alstroemeria Lavender Select,490,2025-06-02,2025-06-10
