competitor,competitor_product_id,competitor_product_name,competitor_product_group_name,color,stem_length,stems_per_unit,unit_price,price_per_stem,matched_variety_name,variety_key,variety_score,matched_product_group_name,product_group_key,product_group_score,created_at,eta_date
PetalJet,45408131154229,3D Rose,Premium Roses,Bicolor,50,48,76.8,1.6,,,,,,,2025-05-07,2025-05-15
PetalJet,45408116638005,3D Rose,Premium Roses,Bicolor,50,72,108.72,1.51,,,,,,,2025-05-07,2025-05-15
PetalJet,45408137216309,3D Rose,Premium Roses,Bicolor,50,144,213.12,1.48,,,,,,,2025-05-07,2025-05-15
PetalJet,45408144752949,3D Rose,Premium Roses,Bicolor,50,288,414.72,1.44,,,,,,,2025-05-07,2025-05-15
PetalJet,45408158155061,3D Rose,Premium Roses,Bicolor,60,72,114.48,1.59,,,,,,,2025-05-07,2025-05-15
PetalJet,45408171163957,3D Rose,Premium Roses,Bicolor,60,144,223.2,1.55,,,,,,,2025-05-07,2025-05-15
PetalJet,45408174178613,3D Rose,Premium Roses,Bicolor,60,288,434.88,1.51,,,,,,,2025-05-07,2025-05-15
PetalJet,45408178503989,3D Rose,Premium Roses,Bicolor,70,72,119.52,1.66,,,,,,,2025-05-07,2025-05-15
PetalJet,45408180928821,3D Rose,Premium Roses,Bicolor,70,144,233.28,1.62,,,,,,,2025-05-07,2025-05-15
PetalJet,45408182403381,3D Rose,Premium Roses,Bicolor,70,288,457.92,1.59,,,,,,,2025-05-07,2025-05-15
PetalJet,49758493311285,5 Star Jumbo Gerber Daisy 40- -,Jumbo Gerber Daisies,Gerbera,4045,60,82.2,1.37,,,,,,,2025-05-07,2025-05-15
PetalJet,49758493737269,5 Star Jumbo Gerber Daisy 50- -,Jumbo Gerber Daisies,Gerbera,5055,40,73.6,1.84,,,,,,,2025-05-07,2025-05-15
PetalJet,45414764446005,Absolute In Pink Rose,Premium Roses,Pink,50,60,90.6,1.51,Absolute Roses,aed08d76-4782-479f-8426-9f93e180ebbe,0.9516665935516357,,,,2025-05-07,2025-05-15
PetalJet,45414768017717,Absolute In Pink Rose,Premium Roses,Pink,50,84,124.32,1.48,Absolute Roses,aed08d76-4782-479f-8426-9f93e180ebbe,0.9516665935516357,,,,2025-05-07,2025-05-15
PetalJet,45414770639157,Absolute In Pink Rose,Premium Roses,Pink,50,168,245.28,1.46,Absolute Roses,aed08d76-4782-479f-8426-9f93e180ebbe,0.9516665935516357,,,,2025-05-07,2025-05-15
PetalJet,45414774243637,Absolute In Pink Rose,Premium Roses,Pink,50,336,470.4,1.4,Absolute Roses,aed08d76-4782-479f-8426-9f93e180ebbe,0.9516665935516357,,,,2025-05-07,2025-05-15
PetalJet,45414779486517,Absolute In Pink Rose,Premium Roses,Pink,60,84,137.76,1.64,Absolute Roses,aed08d76-4782-479f-8426-9f93e180ebbe,0.9516665935516357,,,,2025-05-07,2025-05-15
PetalJet,45414782763317,Absolute In Pink Rose,Premium Roses,Pink,60,168,268.8,1.6,Absolute Roses,aed08d76-4782-479f-8426-9f93e180ebbe,0.9516665935516357,,,,2025-05-07,2025-05-15
PetalJet,45414785351989,Absolute In Pink Rose,Premium Roses,Pink,60,336,524.16,1.56,Absolute Roses,aed08d76-4782-479f-8426-9f93e180ebbe,0.9516665935516357,,,,2025-05-07,2025-05-15
PetalJet,45414789644597,Absolute In Pink Rose,Premium Roses,Pink,70,84,152.88,1.82,Absolute Roses,aed08d76-4782-479f-8426-9f93e180ebbe,0.9516665935516357,,,,2025-05-07,2025-05-15
PetalJet,45414793511221,Absolute In Pink Rose,Premium Roses,Pink,70,168,295.68,1.76,Absolute Roses,aed08d76-4782-479f-8426-9f93e180ebbe,0.9516665935516357,,,,2025-05-07,2025-05-15
PetalJet,45414795051317,Absolute In Pink Rose,Premium Roses,Pink,70,336,574.56,1.71,Absolute Roses,aed08d76-4782-479f-8426-9f93e180ebbe,0.9516665935516357,,,,2025-05-07,2025-05-15
PetalJet,48430948811061,Africana Orange Rose,Premium Roses,Fall,40,72,87.84,1.22,,,,,,,2025-05-07,2025-05-15
PetalJet,48430948843829,Africana Orange Rose,Premium Roses,Fall,40,96,115.2,1.2,,,,,,,2025-05-07,2025-05-15
