competitor,competitor_product_id,competitor_product_name,competitor_product_group_name,color,stem_length,stems_per_unit,unit_price,stem_price,matched_variety_name,variety_key,variety_score,cleaned_name_used,matched_product_group_name,product_group_key,product_group_score,created_at,eta_date
PetalJet,1791250432061,3D Rose,Premium Roses,Bicolor,50,48,76.8,1.6,Pink 3d Roses,df63c641-94ab-4736-aeb1-9e17e6f7f964,0.9400456547737122,3d rose,,,,2025-05-26,2025-06-04
PetalJet,1791250432061,3D Rose,Premium Roses,Bicolor,50,72,108.72,1.51,Pink 3d Roses,df63c641-94ab-4736-aeb1-9e17e6f7f964,0.9400456547737122,3d rose,,,,2025-05-26,2025-06-04
PetalJet,1791250432061,3D Rose,Premium Roses,Bicolor,50,144,213.12,1.48,Pink 3d Roses,df63c641-94ab-4736-aeb1-9e17e6f7f964,0.9400456547737122,3d rose,,,,2025-05-26,2025-06-04
PetalJet,1791250432061,3D Rose,Premium Roses,Bicolor,50,288,414.72,1.44,Pink 3d Roses,df63c641-94ab-4736-aeb1-9e17e6f7f964,0.9400456547737122,3d rose,,,,2025-05-26,2025-06-04
PetalJet,1791250432061,3D Rose,Premium Roses,Bicolor,60,72,114.48,1.59,Pink 3d Roses,df63c641-94ab-4736-aeb1-9e17e6f7f964,0.9400456547737122,3d rose,,,,2025-05-26,2025-06-04
PetalJet,1791250432061,3D Rose,Premium Roses,Bicolor,60,144,223.2,1.55,Pink 3d Roses,df63c641-94ab-4736-aeb1-9e17e6f7f964,0.9400456547737122,3d rose,,,,2025-05-26,2025-06-04
PetalJet,1791250432061,3D Rose,Premium Roses,Bicolor,60,288,434.88,1.51,Pink 3d Roses,df63c641-94ab-4736-aeb1-9e17e6f7f964,0.9400456547737122,3d rose,,,,2025-05-26,2025-06-04
PetalJet,1791250432061,3D Rose,Premium Roses,Bicolor,70,72,119.52,1.66,Pink 3d Roses,df63c641-94ab-4736-aeb1-9e17e6f7f964,0.9400456547737122,3d rose,,,,2025-05-26,2025-06-04
PetalJet,1791250432061,3D Rose,Premium Roses,Bicolor,70,144,233.28,1.62,Pink 3d Roses,df63c641-94ab-4736-aeb1-9e17e6f7f964,0.9400456547737122,3d rose,,,,2025-05-26,2025-06-04
PetalJet,1791250432061,3D Rose,Premium Roses,Bicolor,70,288,457.92,1.59,Pink 3d Roses,df63c641-94ab-4736-aeb1-9e17e6f7f964,0.9400456547737122,3d rose,,,,2025-05-26,2025-06-04
PetalJet,4516904075363,5 Star Jumbo Gerber Daisy 40- -,Jumbo Gerber Daisies,Gerbera,40,60,82.2,1.37,,,,40 5 daisy gerber jumbo star,,,,2025-05-26,2025-06-04
PetalJet,4516904075363,5 Star Jumbo Gerber Daisy 50- -,Jumbo Gerber Daisies,Gerbera,50,40,73.6,1.84,,,,5 50 daisy gerber jumbo star,,,,2025-05-26,2025-06-04
PetalJet,8152609227061,Absolute In Pink Rose,Premium Roses,Pink,50,60,90.6,1.51,Pink Absolute Roses,aed08d76-4782-479f-8426-9f93e180ebbe,0.9465470314025879,absolute in pink rose,,,,2025-05-26,2025-06-04
PetalJet,8152609227061,Absolute In Pink Rose,Premium Roses,Pink,50,84,124.32,1.48,Pink Absolute Roses,aed08d76-4782-479f-8426-9f93e180ebbe,0.9465470314025879,absolute in pink rose,,,,2025-05-26,2025-06-04
PetalJet,8152609227061,Absolute In Pink Rose,Premium Roses,Pink,50,168,245.28,1.46,Pink Absolute Roses,aed08d76-4782-479f-8426-9f93e180ebbe,0.9465470314025879,absolute in pink rose,,,,2025-05-26,2025-06-04
PetalJet,8152609227061,Absolute In Pink Rose,Premium Roses,Pink,50,336,470.4,1.4,Pink Absolute Roses,aed08d76-4782-479f-8426-9f93e180ebbe,0.9465470314025879,absolute in pink rose,,,,2025-05-26,2025-06-04
