competitor,competitor_product_id,competitor_product_name,competitor_product_group_name,color,stem_length,stems_per_unit,unit_price,stem_price,cleaned_name_used,created_at,eta_date
PetalJet,1791250432061,3D Rose,Premium Roses,Bicolor,50,48,76.8,1.6,3D Rose,2025-05-28,2025-06-06
PetalJet,1791250432061,3D Rose,Premium Roses,Bicolor,50,72,108.72,1.51,3D Rose,2025-05-28,2025-06-06
PetalJet,1791250432061,3D Rose,Premium Roses,Bicolor,50,144,213.12,1.48,3D Rose,2025-05-28,2025-06-06
PetalJet,1791250432061,3D Rose,Premium Roses,Bicolor,50,288,414.72,1.44,3D Rose,2025-05-28,2025-06-06
PetalJet,1791250432061,3D Rose,Premium Roses,Bicolor,60,72,114.48,1.59,3D Rose,2025-05-28,2025-06-06
PetalJet,1791250432061,3D Rose,Premium Roses,Bicolor,60,144,223.2,1.55,3D Rose,2025-05-28,2025-06-06
PetalJet,1791250432061,3D Rose,Premium Roses,Bicolor,60,288,434.88,1.51,3D Rose,2025-05-28,2025-06-06
PetalJet,1791250432061,3D Rose,Premium Roses,Bicolor,70,72,119.52,1.66,3D Rose,2025-05-28,2025-06-06
PetalJet,1791250432061,3D Rose,Premium Roses,Bicolor,70,144,233.28,1.62,3D Rose,2025-05-28,2025-06-06
PetalJet,1791250432061,3D Rose,Premium Roses,Bicolor,70,288,457.92,1.59,3D Rose,2025-05-28,2025-06-06
PetalJet,4516904075363,5 Star Jumbo Gerber Daisy,Jumbo Gerber Daisies,Gerbera,40,60,82.2,1.37,5 Star Jumbo Gerber Daisy,2025-05-28,2025-06-06
PetalJet,4516904075363,5 Star Jumbo Gerber Daisy,Jumbo Gerber Daisies,Gerbera,50,40,73.6,1.84,5 Star Jumbo Gerber Daisy,2025-05-28,2025-06-06
PetalJet,8152609227061,Absolute In Pink Rose,Premium Roses,Pink,50,60,90.6,1.51,Absolute In Pink Rose,2025-05-28,2025-06-06
PetalJet,8152609227061,Absolute In Pink Rose,Premium Roses,Pink,50,84,124.32,1.48,Absolute In Pink Rose,2025-05-28,2025-06-06
PetalJet,8152609227061,Absolute In Pink Rose,Premium Roses,Pink,50,168,245.28,1.46,Absolute In Pink Rose,2025-05-28,2025-06-06
PetalJet,8152609227061,Absolute In Pink Rose,Premium Roses,Pink,50,336,470.4,1.4,Absolute In Pink Rose,2025-05-28,2025-06-06
PetalJet,8152609227061,Absolute In Pink Rose,Premium Roses,Pink,60,84,137.76,1.64,Absolute In Pink Rose,2025-05-28,2025-06-06
PetalJet,8152609227061,Absolute In Pink Rose,Premium Roses,Pink,60,168,268.8,1.6,Absolute In Pink Rose,2025-05-28,2025-06-06
PetalJet,8152609227061,Absolute In Pink Rose,Premium Roses,Pink,60,336,524.16,1.56,Absolute In Pink Rose,2025-05-28,2025-06-06
PetalJet,8152609227061,Absolute In Pink Rose,Premium Roses,Pink,70,84,152.88,1.82,Absolute In Pink Rose,2025-05-28,2025-06-06
PetalJet,8152609227061,Absolute In Pink Rose,Premium Roses,Pink,70,168,295.68,1.76,Absolute In Pink Rose,2025-05-28,2025-06-06
PetalJet,8152609227061,Absolute In Pink Rose,Premium Roses,Pink,70,336,574.56,1.71,Absolute In Pink Rose,2025-05-28,2025-06-06
PetalJet,8463997927733,Africana Orange Rose,Premium Roses,Fall,40,72,87.84,1.22,Africana Orange Rose,2025-05-28,2025-06-06
PetalJet,8463997927733,Africana Orange Rose,Premium Roses,Fall,40,96,115.2,1.2,Africana Orange Rose,2025-05-28,2025-06-06
PetalJet,8463997927733,Africana Orange Rose,Premium Roses,Fall,40,192,222.72,1.16,Africana Orange Rose,2025-05-28,2025-06-06
PetalJet,8463997927733,Africana Orange Rose,Premium Roses,Fall,40,384,437.76,1.14,Africana Orange Rose,2025-05-28,2025-06-06
PetalJet,8463997927733,Africana Orange Rose,Premium Roses,Fall,50,72,95.04,1.32,Africana Orange Rose,2025-05-28,2025-06-06
PetalJet,8463997927733,Africana Orange Rose,Premium Roses,Fall,50,96,123.84,1.29,Africana Orange Rose,2025-05-28,2025-06-06
PetalJet,8463997927733,Africana Orange Rose,Premium Roses,Fall,50,192,241.92,1.26,Africana Orange Rose,2025-05-28,2025-06-06
PetalJet,8463997927733,Africana Orange Rose,Premium Roses,Fall,50,384,480.0,1.25,Africana Orange Rose,2025-05-28,2025-06-06
PetalJet,8464046948661,Akito Rose,Premium Roses,pricetest,40,60,90.6,1.51,Akito Rose,2025-05-28,2025-06-06
PetalJet,8464046948661,Akito Rose,Premium Roses,pricetest,40,84,123.48,1.47,Akito Rose,2025-05-28,2025-06-06
PetalJet,8464046948661,Akito Rose,Premium Roses,pricetest,40,168,240.24,1.43,Akito Rose,2025-05-28,2025-06-06
PetalJet,8464046948661,Akito Rose,Premium Roses,pricetest,40,336,456.96,1.36,Akito Rose,2025-05-28,2025-06-06
PetalJet,8464046948661,Akito Rose,Premium Roses,pricetest,50,60,100.2,1.67,Akito Rose,2025-05-28,2025-06-06
PetalJet,8464046948661,Akito Rose,Premium Roses,pricetest,50,84,136.08,1.62,Akito Rose,2025-05-28,2025-06-06
PetalJet,8464046948661,Akito Rose,Premium Roses,pricetest,50,168,265.44,1.58,Akito Rose,2025-05-28,2025-06-06
PetalJet,8464046948661,Akito Rose,Premium Roses,pricetest,50,336,510.72,1.52,Akito Rose,2025-05-28,2025-06-06
PetalJet,4516904960099,Alarda Jumbo Gerber Daisy,Jumbo Gerber Daisies,Gerbera,40,60,82.2,1.37,Alarda Jumbo Gerber Daisy,2025-05-28,2025-06-06
PetalJet,4516904960099,Alarda Jumbo Gerber Daisy,Jumbo Gerber Daisies,Gerbera,50,40,73.6,1.84,Alarda Jumbo Gerber Daisy,2025-05-28,2025-06-06
PetalJet,4548189847651,All 4 Love Garden Rose,Garden Roses,Lavender,50,48,96.48,2.01,All 4 Love Garden Rose,2025-05-28,2025-06-06
PetalJet,4548189847651,All 4 Love Garden Rose,Garden Roses,Lavender,50,72,137.52,1.91,All 4 Love Garden Rose,2025-05-28,2025-06-06
PetalJet,4548189847651,All 4 Love Garden Rose,Garden Roses,Lavender,50,144,267.84,1.86,All 4 Love Garden Rose,2025-05-28,2025-06-06
PetalJet,4548189847651,All 4 Love Garden Rose,Garden Roses,Lavender,50,288,524.16,1.82,All 4 Love Garden Rose,2025-05-28,2025-06-06
PetalJet,4548189847651,All 4 Love Garden Rose,Garden Roses,Lavender,60,72,142.56,1.98,All 4 Love Garden Rose,2025-05-28,2025-06-06
PetalJet,4548189847651,All 4 Love Garden Rose,Garden Roses,Lavender,60,144,276.48,1.92,All 4 Love Garden Rose,2025-05-28,2025-06-06
PetalJet,4548189847651,All 4 Love Garden Rose,Garden Roses,Lavender,60,288,538.56,1.87,All 4 Love Garden Rose,2025-05-28,2025-06-06
PetalJet,8379464843573,Aloha Rose,Premium Roses,Fall,40,48,79.2,1.65,Aloha Rose,2025-05-28,2025-06-06
PetalJet,8379464843573,Aloha Rose,Premium Roses,Fall,40,72,112.32,1.56,Aloha Rose,2025-05-28,2025-06-06
PetalJet,8379464843573,Aloha Rose,Premium Roses,Fall,40,144,218.88,1.52,Aloha Rose,2025-05-28,2025-06-06
PetalJet,8379464843573,Aloha Rose,Premium Roses,Fall,40,288,426.24,1.48,Aloha Rose,2025-05-28,2025-06-06
PetalJet,8379464843573,Aloha Rose,Premium Roses,Fall,50,48,84.0,1.75,Aloha Rose,2025-05-28,2025-06-06
PetalJet,8379464843573,Aloha Rose,Premium Roses,Fall,50,72,118.8,1.65,Aloha Rose,2025-05-28,2025-06-06
PetalJet,8379464843573,Aloha Rose,Premium Roses,Fall,50,144,231.84,1.61,Aloha Rose,2025-05-28,2025-06-06
PetalJet,8379464843573,Aloha Rose,Premium Roses,Fall,50,288,449.28,1.56,Aloha Rose,2025-05-28,2025-06-06
PetalJet,8379464843573,Aloha Rose,Premium Roses,Fall,60,72,131.04,1.82,Aloha Rose,2025-05-28,2025-06-06
PetalJet,8379464843573,Aloha Rose,Premium Roses,Fall,60,144,253.44,1.76,Aloha Rose,2025-05-28,2025-06-06
PetalJet,8379464843573,Aloha Rose,Premium Roses,Fall,60,288,495.36,1.72,Aloha Rose,2025-05-28,2025-06-06
PetalJet,8845278970165,Alstroemeria Assorted Box #222,Alstroemeria,alstromeria,60,100,98.0,0.98,Alstroemeria Assorted Box #222,2025-05-28,2025-06-06
PetalJet,8845278970165,Alstroemeria Assorted Box #222,Alstroemeria,alstromeria,60,180,153.0,0.85,Alstroemeria Assorted Box #222,2025-05-28,2025-06-06
PetalJet,8845278970165,Alstroemeria Assorted Box #222,Alstroemeria,alstromeria,70,200,170.0,0.85,Alstroemeria Assorted Box #222,2025-05-28,2025-06-06
PetalJet,8282599850293,Aly Rose,Premium Roses,blush,50,60,105.6,1.76,Aly Rose,2025-05-28,2025-06-06
PetalJet,8282599850293,Aly Rose,Premium Roses,blush,50,84,142.8,1.7,Aly Rose,2025-05-28,2025-06-06
